Name,Sex,Country,NOC,Games,Year,Host_City,Sport,Event,Gold,Silver,Bronze,Type_Sport
Kosuke Kitajima,M,Japan,JPN,2004 Summer,2004,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,0,0,1,Team
Kosuke Kitajima,M,Japan,JPN,2004 Summer,2004,Athina,Swimming,Swimming Men's 200 metres Breaststroke,1,0,0,Individual
Kosuke Kitajima,M,Japan,JPN,2004 Summer,2004,Athina,Swimming,Swimming Men's 100 metres Breaststroke,1,0,0,Individual
Kim Hyang-Mi,F,North Korea,PRK,2004 Summer,2004,Athina,Table Tennis,Table Tennis Women's Singles,0,1,0,Individual
Takuya Kimura,M,Japan,JPN,2004 Summer,2004,Athina,Baseball,Baseball Men's Baseball,0,0,1,Team
Kim Song-Guk,M,North Korea,PRK,2004 Summer,2004,Athina,Boxing,Boxing Men's Featherweight,0,1,0,Individual
Gennady Gennadyevich Golovkin,M,Kazakhstan,KAZ,2004 Summer,2004,Athina,Boxing,Boxing Men's Middleweight,0,1,0,Individual
Kim Hyeon-Ok,F,South Korea,KOR,2004 Summer,2004,Athina,Handball,Handball Women's Handball,0,1,0,Team
Yang Hao,F,China,CHN,2004 Summer,2004,Athina,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Kim Jong-Su,M,North Korea,PRK,2004 Summer,2004,Athina,Shooting,"Shooting Men's Free Pistol, 50 metres",0,0,1,Individual
Yun Mi-Jin,F,South Korea,KOR,2004 Summer,2004,Athina,Archery,Archery Women's Team,1,0,0,Team
Kim Jeong-Ju,M,South Korea,KOR,2004 Summer,2004,Athina,Boxing,Boxing Men's Welterweight,0,0,1,Individual
Hiroki Kuroda,M,Japan,JPN,2004 Summer,2004,Athina,Baseball,Baseball Men's Baseball,0,0,1,Team
Lee Sang-Eun,F,South Korea,KOR,2004 Summer,2004,Athina,Handball,Handball Women's Handball,0,1,0,Team
Toshiaki Fushimi,M,Japan,JPN,2004 Summer,2004,Athina,Cycling,Cycling Men's Team Sprint,0,1,0,Team
Gennady Kazbekovich Laliyev,M,Kazakhstan,KAZ,2004 Summer,2004,Athina,Wrestling,"Wrestling Men's Middleweight, Freestyle",0,1,0,Individual
Zhang Jun,M,China-2,CHN,2004 Summer,2004,Athina,Badminton,Badminton Mixed Doubles,1,0,0,Team
Yang Tae-Yeong,M,South Korea,KOR,2004 Summer,2004,Athina,Gymnastics,Gymnastics Men's Individual All-Around,0,0,1,Individual
Kim Cha-Yeon,F,South Korea,KOR,2004 Summer,2004,Athina,Handball,Handball Women's Handball,0,1,0,Team
Zhang Juanjuan,F,China,CHN,2004 Summer,2004,Athina,Archery,Archery Women's Team,0,1,0,Team
Lee Gyeong-Won,F,South Korea-1,KOR,2004 Summer,2004,Athina,Badminton,Badminton Women's Doubles,0,0,1,Team
Lee Gong-Ju,F,South Korea,KOR,2004 Summer,2004,Athina,Handball,Handball Women's Handball,0,1,0,Team
Lee Eun-Sil,F,South Korea-1,KOR,2004 Summer,2004,Athina,Table Tennis,Table Tennis Women's Doubles,0,1,0,Team
Lee Dong-Su,M,South Korea,KOR,2004 Summer,2004,Athina,Badminton,Badminton Men's Doubles,0,1,0,Team
Sergey Yuryevich Filimonov,M,Kazakhstan,KAZ,2004 Summer,2004,Athina,Weightlifting,Weightlifting Men's Middleweight,0,1,0,Individual
Yang Jinghui,M,China,CHN,2004 Summer,2004,Athina,Diving,Diving Men's Synchronized Platform,1,0,0,Team
Kim Dae-Eun,M,South Korea,KOR,2004 Summer,2004,Athina,Gymnastics,Gymnastics Men's Individual All-Around,0,1,0,Individual
Zhang Jiewen,F,China-1,CHN,2004 Summer,2004,Athina,Badminton,Badminton Women's Doubles,1,0,0,Team
Michiyo Fujimaru,F,Japan,JPN,2004 Summer,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,0,1,0,Team
Atsushi Fujimoto,M,Japan,JPN,2004 Summer,2004,Athina,Baseball,Baseball Men's Baseball,0,0,1,Team
Kim Dong-Mun,M,South Korea-2,KOR,2004 Summer,2004,Athina,Badminton,Badminton Men's Doubles,1,0,0,Team
Lee Bo-Na,F,South Korea,KOR,2004 Summer,2004,Athina,Shooting,Shooting Women's Double Trap,0,1,0,Individual
Lee Bo-Na,F,South Korea,KOR,2004 Summer,2004,Athina,Shooting,Shooting Women's Trap,0,0,1,Individual
Lee Bae-Yeong,M,South Korea,KOR,2004 Summer,2004,Athina,Weightlifting,Weightlifting Men's Lightweight,0,1,0,Individual
Le Maosheng,M,China,CHN,2004 Summer,2004,Athina,Weightlifting,Weightlifting Men's Featherweight,0,1,0,Individual
Eri Yamada,F,Japan,JPN,2004 Summer,2004,Athina,Softball,Softball Women's Softball,0,0,1,Team
Kosuke Fukudome,M,Japan,JPN,2004 Summer,2004,Athina,Baseball,Baseball Men's Baseball,0,0,1,Team
Lao Lishi,F,China,CHN,2004 Summer,2004,Athina,Diving,Diving Women's Synchronized Platform,1,0,0,Team
Lao Lishi,F,China,CHN,2004 Summer,2004,Athina,Diving,Diving Women's Platform,0,1,0,Individual
Zhang Guozheng,M,China,CHN,2004 Summer,2004,Athina,Weightlifting,Weightlifting Men's Lightweight,1,0,0,Individual
Guo Yue,F,China-2,CHN,2004 Summer,2004,Athina,Table Tennis,Table Tennis Women's Doubles,0,0,1,Team
Kye Sun-Hui,F,North Korea,PRK,2004 Summer,2004,Athina,Judo,Judo Women's Lightweight,0,1,0,Individual
Mizuki Noguchi,F,Japan,JPN,2004 Summer,2004,Athina,Athletics,Athletics Women's Marathon,1,0,0,Individual
Liu Chunhong,F,China,CHN,2004 Summer,2004,Athina,Weightlifting,Weightlifting Women's Light-Heavyweight,1,0,0,Individual
Chen Zhong,F,China,CHN,2004 Summer,2004,Athina,Taekwondo,Taekwondo Women's Heavyweight,1,0,0,Individual
Yuki Yokosawa,F,Japan,JPN,2004 Summer,2004,Athina,Judo,Judo Women's Half-Lightweight,0,1,0,Individual
Koji Alexander Murofushi,M,Japan,JPN,2004 Summer,2004,Athina,Athletics,Athletics Men's Hammer Throw,1,0,0,Individual
Arihito Muramatsu,M,Japan,JPN,2004 Summer,2004,Athina,Baseball,Baseball Men's Baseball,0,0,1,Team
Mun Ui-Je,M,South Korea,KOR,2004 Summer,2004,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",0,1,0,Individual
Saori Yoshida,F,Japan,JPN,2004 Summer,2004,Athina,Wrestling,"Wrestling Women's Lightweight, Freestyle",1,0,0,Individual
Mun Pil-Hui,F,South Korea,KOR,2004 Summer,2004,Athina,Handball,Handball Women's Handball,0,1,0,Team
Mun Gyeong-Ha,F,South Korea,KOR,2004 Summer,2004,Athina,Handball,Handball Women's Handball,0,1,0,Team
Mun Dae-Seong,M,South Korea,KOR,2004 Summer,2004,Athina,Taekwondo,Taekwondo Men's Heavyweight,1,0,0,Individual
Masoud Mostafa Jokar,M,Iran,IRI,2004 Summer,2004,Athina,Wrestling,"Wrestling Men's Lightweight, Freestyle",0,1,0,Individual
Tomomi Morita,M,Japan,JPN,2004 Summer,2004,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,0,0,1,Team
Tomomi Morita,M,Japan,JPN,2004 Summer,2004,Athina,Swimming,Swimming Men's 100 metres Backstroke,0,0,1,Individual
Yin Jian,F,China,CHN,2004 Summer,2004,Athina,Sailing,Sailing Women's Windsurfer,0,1,0,Individual
Masaki Inoue,M,Japan,JPN,2004 Summer,2004,Athina,Cycling,Cycling Men's Team Sprint,0,1,0,Team
Hisashi Mizutori,M,Japan,JPN,2004 Summer,2004,Athina,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Manut Boonjumnong,M,Thailand,THA,2004 Summer,2004,Athina,Boxing,Boxing Men's Light-Welterweight,1,0,0,Individual
Shinya Miyamoto,M,Japan,JPN,2004 Summer,2004,Athina,Baseball,Baseball Men's Baseball,0,0,1,Team
Wei Ning,F,China,CHN,2004 Summer,2004,Athina,Shooting,Shooting Women's Skeet,0,1,0,Individual
Huang Shanshan,F,China,CHN,2004 Summer,2004,Athina,Trampolining,Trampolining Women's Individual,0,0,1,Individual
Daisuke Miura,M,Japan,JPN,2004 Summer,2004,Athina,Baseball,Baseball Men's Baseball,0,0,1,Team
Yaowapa Boorapolchai,F,Thailand,THA,2004 Summer,2004,Athina,Taekwondo,Taekwondo Women's Flyweight,0,0,1,Individual
Hirotoshi Ishii,M,Japan,JPN,2004 Summer,2004,Athina,Baseball,Baseball Men's Baseball,0,0,1,Team
Masumi Mishina,F,Japan,JPN,2004 Summer,2004,Athina,Softball,Softball Women's Softball,0,0,1,Team
Serik Samatovich Yeleuov,M,Kazakhstan,KAZ,2004 Summer,2004,Athina,Boxing,Boxing Men's Lightweight,0,0,1,Individual
Kazue Ito,F,Japan,JPN,2004 Summer,2004,Athina,Softball,Softball Women's Softball,0,0,1,Team
Meng Guanliang,M,China,CHN,2004 Summer,2004,Athina,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",1,0,0,Team
Huang Chih-Hsiung,M,Chinese Taipei,TPE,2004 Summer,2004,Athina,Taekwondo,Taekwondo Men's Featherweight,0,1,0,Individual
Huang Sui,F,China,CHN,2004 Summer,2004,Athina,Badminton,Badminton Women's Doubles,0,1,0,Team
Myeom Bok-Hui,F,South Korea,KOR,2004 Summer,2004,Athina,Handball,Handball Women's Handball,0,1,0,Team
Na Gyeong-Min,F,South Korea-1,KOR,2004 Summer,2004,Athina,Badminton,Badminton Women's Doubles,0,0,1,Team
Kenji Inoue,M,Japan,JPN,2004 Summer,2004,Athina,Wrestling,"Wrestling Men's Lightweight, Freestyle",0,0,1,Individual
Niu Jianfeng,F,China-2,CHN,2004 Summer,2004,Athina,Table Tennis,Table Tennis Women's Doubles,0,0,1,Team
Magomed Abdulmumynovych Ibragimov,M,Uzbekistan,UZB,2004 Summer,2004,Athina,Wrestling,"Wrestling Men's Heavyweight, Freestyle",0,1,0,Individual
Zou Shiming,M,China,CHN,2004 Summer,2004,Athina,Boxing,Boxing Men's Light-Flyweight,0,0,1,Individual
Wang Xu,F,China,CHN,2004 Summer,2004,Athina,Wrestling,"Wrestling Women's Heavyweight, Freestyle",1,0,0,Individual
Ryoji Aikawa,M,Japan,JPN,2004 Summer,2004,Athina,Baseball,Baseball Men's Baseball,0,0,1,Team
Chiharu Icho,F,Japan,JPN,2004 Summer,2004,Athina,Wrestling,"Wrestling Women's Flyweight, Freestyle",0,1,0,Individual
Naser Al Shami,M,Syria,SYR,2004 Summer,2004,Athina,Boxing,Boxing Men's Heavyweight,0,0,1,Individual
Hwang Gyeong-Seon,F,South Korea,KOR,2004 Summer,2004,Athina,Taekwondo,Taekwondo Women's Welterweight,0,0,1,Individual
Wang Yifu,M,China,CHN,2004 Summer,2004,Athina,Shooting,"Shooting Men's Air Pistol, 10 metres",1,0,0,Individual
Kaori Icho,F,Japan,JPN,2004 Summer,2004,Athina,Wrestling,"Wrestling Women's Middleweight, Freestyle",1,0,0,Individual
Isao Yoneda,M,Japan,JPN,2004 Summer,2004,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,0,0,1,Individual
Ahmed bin Hasher Al-Maktoum,M,United Arab Emirates,UAE,2004 Summer,2004,Athina,Shooting,Shooting Men's Double Trap,1,0,0,Individual
Isao Yoneda,M,Japan,JPN,2004 Summer,2004,Athina,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Im Dong-Hyeon,M,South Korea,KOR,2004 Summer,2004,Athina,Archery,Archery Men's Team,1,0,0,Team
Yuya Ando,M,Japan,JPN,2004 Summer,2004,Athina,Baseball,Baseball Men's Baseball,0,0,1,Team
Daisuke Nakano,M,Japan,JPN,2004 Summer,2004,Athina,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Yuko Nakanishi,F,Japan,JPN,2004 Summer,2004,Athina,Swimming,Swimming Women's 200 metres Butterfly,0,0,1,Individual
Noriko Anno,F,Japan,JPN,2004 Summer,2004,Athina,Judo,Judo Women's Half-Heavyweight,1,0,0,Individual
Reiko Nakamura,F,Japan,JPN,2004 Summer,2004,Athina,Swimming,Swimming Women's 200 metres Backstroke,0,0,1,Individual
Norihiro Nakamura,M,Japan,JPN,2004 Summer,2004,Athina,Baseball,Baseball Men's Baseball,0,0,1,Team
Bakhtiyar Garifulayevich Artayev,M,Kazakhstan,KAZ,2004 Summer,2004,Athina,Boxing,Boxing Men's Welterweight,1,0,0,Individual
Zhu Yingwen,F,China,CHN,2004 Summer,2004,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,0,1,0,Team
Wang Zheng,M,China,CHN,2004 Summer,2004,Athina,Shooting,Shooting Men's Double Trap,0,0,1,Individual
Emi Naito,F,Japan,JPN,2004 Summer,2004,Athina,Softball,Softball Women's Softball,0,0,1,Team
Im O-Gyeong,F,South Korea,KOR,2004 Summer,2004,Athina,Handball,Handball Women's Handball,0,1,0,Team
Zhu Qinan,M,China,CHN,2004 Summer,2004,Athina,Shooting,"Shooting Men's Air Rifle, 10 metres",1,0,0,Individual
Tomohiro Nagatsuka,M,Japan,JPN,2004 Summer,2004,Athina,Cycling,Cycling Men's Team Sprint,0,1,0,Team
Daisuke Matsuzaka,M,Japan,JPN,2004 Summer,2004,Athina,Baseball,Baseball Men's Baseball,0,0,1,Team
Hu Jia,M,China,CHN,2004 Summer,2004,Athina,Diving,Diving Men's Platform,1,0,0,Individual
Guo Jingjing,F,China,CHN,2004 Summer,2004,Athina,Diving,Diving Women's Springboard,1,0,0,Individual
Yumi Iwabuchi,F,Japan,JPN,2004 Summer,2004,Athina,Softball,Softball Women's Softball,0,0,1,Team
Chen Li-Ju,F,Chinese Taipei,TPE,2004 Summer,2004,Athina,Archery,Archery Women's Team,0,0,1,Team
Jang Mi-Ran,F,South Korea,KOR,2004 Summer,2004,Athina,Weightlifting,Weightlifting Women's Super-Heavyweight,0,1,0,Individual
Ma Lin,M,China-1,CHN,2004 Summer,2004,Athina,Table Tennis,Table Tennis Men's Doubles,1,0,0,Team
Jang Seong-Ho,M,South Korea,KOR,2004 Summer,2004,Athina,Judo,Judo Men's Half-Heavyweight,0,1,0,Individual
Arlee Wiratthaworn,F,Thailand,THA,2004 Summer,2004,Athina,Weightlifting,Weightlifting Women's Flyweight,0,0,1,Individual
Jang So-Hui,F,South Korea,KOR,2004 Summer,2004,Athina,Handball,Handball Women's Handball,0,1,0,Team
Taufik Hidayat,M,Indonesia,INA,2004 Summer,2004,Athina,Badminton,Badminton Men's Singles,1,0,0,Individual
Luo Xuejuan,F,China,CHN,2004 Summer,2004,Athina,Swimming,Swimming Women's 100 metres Breaststroke,1,0,0,Individual
Jang Yong-Ho,M,South Korea,KOR,2004 Summer,2004,Athina,Archery,Archery Men's Team,1,0,0,Team
Wu Minxia,F,China,CHN,2004 Summer,2004,Athina,Diving,Diving Women's Synchronized Springboard,1,0,0,Team
Wu Seon-Hui,F,South Korea,KOR,2004 Summer,2004,Athina,Handball,Handball Women's Handball,0,1,0,Team
Chen Shih-Hsien,F,Chinese Taipei,TPE,2004 Summer,2004,Athina,Taekwondo,Taekwondo Women's Flyweight,1,0,0,Individual
Heo Sun-Yeong,F,South Korea,KOR,2004 Summer,2004,Athina,Handball,Handball Women's Handball,0,1,0,Team
Chen Szu-Yuan,M,Chinese Taipei,TPE,2004 Summer,2004,Athina,Archery,Archery Men's Team,0,1,0,Team
Ali Reza Heidari,M,Iran,IRI,2004 Summer,2004,Athina,Wrestling,"Wrestling Men's Heavyweight, Freestyle",0,0,1,Individual
He Ying,F,China,CHN,2004 Summer,2004,Athina,Archery,Archery Women's Team,0,1,0,Team
Chen Yanqing,F,China,CHN,2004 Summer,2004,Athina,Weightlifting,Weightlifting Women's Lightweight,1,0,0,Individual
Jeong Ji-Hyeon,M,South Korea,KOR,2004 Summer,2004,Athina,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",1,0,0,Individual
Yang Yu,F,China,CHN,2004 Summer,2004,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,0,1,0,Team
Jia Zhanbo,M,China,CHN,2004 Summer,2004,Athina,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",1,0,0,Individual
Heo Yeong-Suk,F,South Korea,KOR,2004 Summer,2004,Athina,Handball,Handball Women's Handball,0,1,0,Team
Chen Jing,F,China,CHN,2004 Summer,2004,Athina,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Chen Qi,M,China-1,CHN,2004 Summer,2004,Athina,Table Tennis,Table Tennis Men's Doubles,1,0,0,Team
Jang Ji-Won,F,South Korea,KOR,2004 Summer,2004,Athina,Taekwondo,Taekwondo Women's Featherweight,1,0,0,Individual
Zhou Mi,F,China,CHN,2004 Summer,2004,Athina,Badminton,Badminton Women's Singles,0,0,1,Individual
Wu Meijin,M,China,CHN,2004 Summer,2004,Athina,Weightlifting,Weightlifting Men's Bantamweight,0,1,0,Individual
Zhou Suhong,F,China,CHN,2004 Summer,2004,Athina,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Wu Hui-Ju,F,Chinese Taipei,TPE,2004 Summer,2004,Athina,Archery,Archery Women's Team,0,0,1,Team
Hiroshi Izumi,M,Japan,JPN,2004 Summer,2004,Athina,Judo,Judo Men's Middleweight,0,1,0,Individual
Wu Minxia,F,China,CHN,2004 Summer,2004,Athina,Diving,Diving Women's Springboard,0,1,0,Individual
Hitoki Iwase,M,Japan,JPN,2004 Summer,2004,Athina,Baseball,Baseball Men's Baseball,0,0,1,Team
Wu Hanxiong,M,China,CHN,2004 Summer,2004,Athina,Fencing,"Fencing Men's Foil, Team",0,1,0,Team
Mkhitar Razmikovich Manukyan,M,Kazakhstan,KAZ,2004 Summer,2004,Athina,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",0,0,1,Individual
Ye Chong,M,China,CHN,2004 Summer,2004,Athina,Fencing,"Fencing Men's Foil, Team",0,1,0,Team
Hisashi Iwakuma,M,Japan,JPN,2004 Summer,2004,Athina,Baseball,Baseball Men's Baseball,0,0,1,Team
He Kexin,F,China,CHN,2008 Summer,2008,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,1,0,0,Individual
Heo Sun-Yeong,F,South Korea,KOR,2008 Summer,2008,Beijing,Handball,Handball Women's Handball,0,0,1,Team
Yu Won-Cheol,M,South Korea,KOR,2008 Summer,2008,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,0,1,0,Individual
Yu Seung-Min,M,South Korea,KOR,2008 Summer,2008,Beijing,Table Tennis,Table Tennis Men's Team,0,0,1,Team
Guo Wenjun,F,China,CHN,2008 Summer,2008,Beijing,Shooting,"Shooting Women's Air Pistol, 10 metres",1,0,0,Individual
Vijender Kumar Singh,M,India,IND,2008 Summer,2008,Beijing,Boxing,Boxing Men's Middleweight,0,0,1,Individual
Yoon Jae-Young,M,South Korea,KOR,2008 Summer,2008,Beijing,Table Tennis,Table Tennis Men's Team,0,0,1,Team
Huang Haiyang,F,China,CHN,2008 Summer,2008,Beijing,Fencing,"Fencing Women's Sabre, Team",0,1,0,Team
He Chong,M,China,CHN,2008 Summer,2008,Beijing,Diving,Diving Men's Springboard,1,0,0,Individual
Son Tae-Jin,M,South Korea,KOR,2008 Summer,2008,Beijing,Taekwondo,Taekwondo Men's Featherweight,1,0,0,Individual
Guo Jingjing,F,China,CHN,2008 Summer,2008,Beijing,Diving,Diving Women's Springboard,1,0,0,Individual
He Kexin,F,China,CHN,2008 Summer,2008,Beijing,Gymnastics,Gymnastics Women's Team All-Around,1,0,0,Team
Hu Binyuan,M,China,CHN,2008 Summer,2008,Beijing,Shooting,Shooting Men's Double Trap,0,0,1,Individual
He Wenna,F,China,CHN,2008 Summer,2008,Beijing,Trampolining,Trampolining Women's Individual,1,0,0,Individual
Saho Harada,F,Japan,JPN,2008 Summer,2008,Beijing,Synchronized Swimming,Synchronized Swimming Women's Duet,0,0,1,Team
Guo Jingjing,F,China,CHN,2008 Summer,2008,Beijing,Diving,Diving Women's Synchronized Springboard,1,0,0,Team
Guo Shuang,F,China,CHN,2008 Summer,2008,Beijing,Cycling,Cycling Women's Sprint,0,0,1,Individual
Ruslan Samaganovich Tyumenbayev,M,Kyrgyzstan,KGZ,2008 Summer,2008,Beijing,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",0,0,1,Individual
Huo Liang,M,China,CHN,2008 Summer,2008,Beijing,Diving,Diving Men's Synchronized Platform,1,0,0,Team
Hanati Silamu,M,China,CHN,2008 Summer,2008,Beijing,Boxing,Boxing Men's Welterweight,0,0,1,Individual
Saori Yoshida,F,Japan,JPN,2008 Summer,2008,Beijing,Wrestling,"Wrestling Women's Lightweight, Freestyle",1,0,0,Individual
Hong Un-Jong,F,North Korea,PRK,2008 Summer,2008,Beijing,Gymnastics,Gymnastics Women's Horse Vault,1,0,0,Individual
Guo Yue,F,China,CHN,2008 Summer,2008,Beijing,Table Tennis,Table Tennis Women's Team,1,0,0,Team
Mika Someya,F,Japan,JPN,2008 Summer,2008,Beijing,Softball,Softball Women's Softball,1,0,0,Team
Kenichi Yumoto,M,Japan,JPN,2008 Summer,2008,Beijing,Wrestling,"Wrestling Men's Lightweight, Freestyle",0,0,1,Individual
Hong Jeong-Ho,F,South Korea,KOR,2008 Summer,2008,Beijing,Handball,Handball Women's Handball,0,0,1,Team
Guo Yue,F,China,CHN,2008 Summer,2008,Beijing,Table Tennis,Table Tennis Women's Singles,0,0,1,Individual
Song Qingling,F,China,CHN,2008 Summer,2008,Beijing,Hockey,Hockey Women's Hockey,0,1,0,Team
Kohei Uchimura,M,Japan,JPN,2008 Summer,2008,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,0,1,0,Individual
Hong Anh Tun,M,Vietnam,VIE,2008 Summer,2008,Beijing,Weightlifting,Weightlifting Men's Bantamweight,0,1,0,Individual
Kohei Uchimura,M,Japan,JPN,2008 Summer,2008,Beijing,Gymnastics,Gymnastics Men's Team All-Around,0,1,0,Team
Rishod Rashidovich Sobirov,M,Uzbekistan,UZB,2008 Summer,2008,Beijing,Judo,Judo Men's Extra-Lightweight,0,0,1,Individual
He Hanbin,M,China-1,CHN,2008 Summer,2008,Beijing,Badminton,Badminton Mixed Doubles,0,0,1,Team
Megu Hirose,F,Japan,JPN,2008 Summer,2008,Beijing,Softball,Softball Women's Softball,1,0,0,Team
Maria Kristin Yulianti,F,Indonesia,INA,2008 Summer,2008,Beijing,Badminton,Badminton Women's Singles,0,0,1,Individual
Song Hai-Rim,F,South Korea,KOR,2008 Summer,2008,Beijing,Handball,Handball Women's Handball,0,0,1,Team
Huang Xuechen,F,China,CHN,2008 Summer,2008,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,0,0,1,Team
Yu Yang,F,China-1,CHN,2008 Summer,2008,Beijing,Badminton,Badminton Women's Doubles,1,0,0,Team
Kyoko Hamaguchi,F,Japan,JPN,2008 Summer,2008,Beijing,Wrestling,"Wrestling Women's Heavyweight, Freestyle",0,0,1,Individual
Yoon Suk-Min,M,South Korea,KOR,2008 Summer,2008,Beijing,Baseball,Baseball Men's Baseball,1,0,0,Team
Han Gi-Ju,M,South Korea,KOR,2008 Summer,2008,Beijing,Baseball,Baseball Men's Baseball,1,0,0,Team
Huang Junxia,F,China,CHN,2008 Summer,2008,Beijing,Hockey,Hockey Women's Hockey,0,1,0,Team
Yu Yang,F,China-1,CHN,2008 Summer,2008,Beijing,Badminton,Badminton Mixed Doubles,0,0,1,Team
Song Seung-Jun,M,South Korea,KOR,2008 Summer,2008,Beijing,Baseball,Baseball Men's Baseball,1,0,0,Team
Yoon Jin-Hee,F,South Korea,KOR,2008 Summer,2008,Beijing,Weightlifting,Weightlifting Women's Featherweight,0,1,0,Individual
Huang Xu,M,China,CHN,2008 Summer,2008,Beijing,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Gwon Hyeok,M,South Korea,KOR,2008 Summer,2008,Beijing,Baseball,Baseball Men's Baseball,1,0,0,Team
Wang Xin (Ruoxue-),F,China,CHN,2008 Summer,2008,Beijing,Diving,Diving Women's Platform,0,0,1,Individual
Yun Ok-Hui,F,South Korea,KOR,2008 Summer,2008,Beijing,Archery,Archery Women's Individual,0,0,1,Individual
Zhou Suhong,F,China,CHN,2008 Summer,2008,Beijing,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Cao Lei,F,China,CHN,2008 Summer,2008,Beijing,Weightlifting,Weightlifting Women's Heavyweight,1,0,0,Individual
Zhou Luxin,M,China,CHN,2008 Summer,2008,Beijing,Diving,Diving Men's Platform,0,1,0,Individual
Chang Yongxiang,M,China,CHN,2008 Summer,2008,Beijing,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",0,1,0,Individual
Zhou Chunxiu,F,China,CHN,2008 Summer,2008,Beijing,Athletics,Athletics Women's Marathon,0,0,1,Individual
Chen Jin,M,China,CHN,2008 Summer,2008,Beijing,Badminton,Badminton Men's Singles,0,0,1,Individual
Tong Wen,F,China,CHN,2008 Summer,2008,Beijing,Judo,Judo Women's Heavyweight,1,0,0,Individual
Chen Ling,F,China,CHN,2008 Summer,2008,Beijing,Archery,Archery Women's Team,0,1,0,Team
Zhong Man,M,China,CHN,2008 Summer,2008,Beijing,Fencing,"Fencing Men's Sabre, Individual",1,0,0,Individual
Tan Zongliang,M,China,CHN,2008 Summer,2008,Beijing,Shooting,"Shooting Men's Free Pistol, 50 metres",0,1,0,Individual
Tan Xue,F,China,CHN,2008 Summer,2008,Beijing,Fencing,"Fencing Women's Sabre, Team",0,1,0,Team
Askhat Rasulovich Zhitkeyev,M,Kazakhstan,KAZ,2008 Summer,2008,Beijing,Judo,Judo Men's Half-Heavyweight,0,1,0,Individual
Zhou Wanfeng,F,China,CHN,2008 Summer,2008,Beijing,Hockey,Hockey Women's Hockey,0,1,0,Team
Chen Qiuqi,F,China,CHN,2008 Summer,2008,Beijing,Hockey,Hockey Women's Hockey,0,1,0,Team
Chen Ruolin,F,China,CHN,2008 Summer,2008,Beijing,Diving,Diving Women's Platform,1,0,0,Individual
Chen Ruolin,F,China,CHN,2008 Summer,2008,Beijing,Diving,Diving Women's Synchronized Platform,1,0,0,Team
Triyatno,M,Indonesia,INA,2008 Summer,2008,Beijing,Weightlifting,Weightlifting Men's Featherweight,0,0,1,Individual
Ryoko Tamura-Tani,F,Japan,JPN,2008 Summer,2008,Beijing,Judo,Judo Women's Extra-Lightweight,0,0,1,Individual
Chen Wei-Ling,F,Chinese Taipei,TPE,2008 Summer,2008,Beijing,Weightlifting,Weightlifting Women's Flyweight,0,0,1,Individual
Zheng Jie,F,China-1,CHN,2008 Summer,2008,Beijing,Tennis,Tennis Women's Doubles,0,0,1,Team
Chen Xiexia,F,China,CHN,2008 Summer,2008,Beijing,Weightlifting,Weightlifting Women's Flyweight,1,0,0,Individual
Chen Yanqing,F,China,CHN,2008 Summer,2008,Beijing,Weightlifting,Weightlifting Women's Lightweight,1,0,0,Individual
Chen Yibing,M,China,CHN,2008 Summer,2008,Beijing,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
Chen Yibing,M,China,CHN,2008 Summer,2008,Beijing,Gymnastics,Gymnastics Men's Rings,1,0,0,Individual
Chen Ying,F,China,CHN,2008 Summer,2008,Beijing,Shooting,"Shooting Women's Sporting Pistol, 25 metres",1,0,0,Individual
Chen Zhaoxia,F,China,CHN,2008 Summer,2008,Beijing,Hockey,Hockey Women's Hockey,0,1,0,Team
Tan Miao,F,China,CHN,2008 Summer,2008,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,0,1,0,Team
Cheng Fei,F,China,CHN,2008 Summer,2008,Beijing,Gymnastics,Gymnastics Women's Team All-Around,1,0,0,Team
