Name,Sex,Country,NOC,Games,Year,Host_City,Sport,Event,Gold,Silver,Bronze,Type_Sport
Masami Kubota,M,Japan,JPN,1956 Summer,1956,Melbourne,Gymnastics,Gymnastics Men's Parallel Bars,0,1,0,Individual
Nobuyuki Aihara,M,Japan,JPN,1956 Summer,1956,Melbourne,Gymnastics,Gymnastics Men's Floor Exercise,0,1,0,Individual
Amit Singh Bakshi,M,India,IND,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,1,0,0,Team
Charles Stephen,M,India,IND,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,1,0,0,Team
Masami Kubota,M,Japan,JPN,1956 Summer,1956,Melbourne,Gymnastics,Gymnastics Men's Rings,0,0,1,Team
Zakir Hussain,M,Pakistan,PAK,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,0,1,0,Team
Munir Ahmed Dar,M,Pakistan,PAK,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,0,1,0,Team
Amir Chand Kumar,M,India,IND,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,1,0,0,Team
Motiullah Khan,M,Pakistan,PAK,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,0,1,0,Team
Masao Takemoto,M,Japan,JPN,1956 Summer,1956,Melbourne,Gymnastics,Gymnastics Men's Rings,0,0,1,Team
Mahmoud Namdjou,M,Iran,IRI,1956 Summer,1956,Melbourne,Weightlifting,Weightlifting Men's Bantamweight,0,0,1,Individual
Noor Alam,M,Pakistan,PAK,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,0,1,0,Team
Mohamed Mehdi Yaghoubi,M,Iran,IRI,1956 Summer,1956,Melbourne,Wrestling,"Wrestling Men's Bantamweight, Freestyle",0,1,0,Individual
Masao Takemoto,M,Japan,JPN,1956 Summer,1956,Melbourne,Gymnastics,Gymnastics Men's Parallel Bars,0,0,1,Team
Shigeru Kasahara,M,Japan,JPN,1956 Summer,1956,Melbourne,Wrestling,"Wrestling Men's Lightweight, Freestyle",0,1,0,Individual
Masao Takemoto,M,Japan,JPN,1956 Summer,1956,Melbourne,Gymnastics,Gymnastics Men's Horizontal Bar,0,0,1,Individual
Abdul Hamid,M,Pakistan,PAK,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,0,1,0,Team
Raghbir Singh Bhola,M,India,IND,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,1,0,0,Team
Akira Kono,M,Japan,JPN,1956 Summer,1956,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,0,1,0,Team
Tsuyoshi Yamanaka,M,Japan,JPN,1956 Summer,1956,Melbourne,Swimming,"Swimming Men's 1,500 metres Freestyle",0,1,0,Individual
Raghbir Lal Sharma,M,India,IND,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,1,0,0,Team
Randhir Singh Gentle,M,India,IND,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,1,0,0,Team
Shankar Pillay Laxman,M,India,IND,1956 Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,1,0,0,Team
Mohamed Paziraie,M,Iran,IRI,1960 Summer,1960,Roma,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",0,0,1,Individual
Gholam Reza Takhti,M,Iran,IRI,1960 Summer,1960,Roma,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",0,1,0,Individual
Shuji Tsurumi,M,Japan,JPN,1960 Summer,1960,Roma,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
"Howe Liang ""Tiger"" Tan",M,Singapore,SGP,1960 Summer,1960,Roma,Weightlifting,Weightlifting Men's Lightweight,0,1,0,Individual
Ahmed Naseer Bunda,M,Pakistan,PAK,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,1,0,0,Team
Charanjit Singh,M,India,IND,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,0,1,0,Team
Makoto Fukui,M,Japan,JPN,1960 Summer,1960,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,0,1,0,Team
Masao Takemoto,M,Japan,JPN,1960 Summer,1960,Roma,Gymnastics,Gymnastics Men's Team All-Around,1,0,0,Team
"Yang Chuan-Kwang ""C. K.""",M,Chinese Taipei,TPE,1960 Summer,1960,Roma,Athletics,Athletics Men's Decathlon,0,1,0,Individual
"Victor John ""V. J."" Peter",M,India,IND,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,0,1,0,Team
Kiyoshi Tanabe,M,Japan,JPN,1960 Summer,1960,Roma,Boxing,Boxing Men's Flyweight,0,0,1,Individual
"Joginder ""Gindi"" Singh",M,India,IND,1960 Summer,1960,Roma,Hockey,Hockey Men's Hockey,0,1,0,Team
Kazuo Tomita,M,Japan,JPN,1960 Summer,1960,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,0,0,1,Team
