Player_Name,Country,Sport,Event,Sport_Type,Gold,Silver,Bronze,Year,Gender
Lavy Pinto,India,Athletics,100 m,Single,1,0,0,1951,M
Lavy Pinto,India,Athletics,200 m,Single,1,0,0,1951,M
Eitaro Okano,Japan,Athletics,400 m,Single,1,0,0,1951,M
Ranjit Singh,India,Athletics,800 m,Single,1,0,0,1951,M
Nikka Singh,India,Athletics,1500 m,Single,1,0,0,1951,M
Ali Baghbanbashi,Iran,Athletics,5000 m,Single,1,0,0,1951,M
Soichi Tamoi,Japan,Athletics,"10,000 m",Single,1,0,0,1951,M
Ng Liang Chiang,Singapore,Athletics,110 m hurdles,Single,1,0,0,1951,M
Eitaro Okano,Japan,Athletics,400 m hurdles,Single,1,0,0,1951,M
Susumu Takahashi,Japan,Athletics,3000 m steeplechase,Single,1,0,0,1951,M
Masaji Tajima,Japan,Athletics,4 × 100 m relay,Team,1,0,0,1951,M
Toshihiro Ohashi,Japan,Athletics,4 × 100 m relay,Team,1,0,0,1951,M
Tomio Hosoda,Japan,Athletics,4 × 100 m relay,Team,1,0,0,1951,M
Kazuta Ikoma,Japan,Athletics,4 × 100 m relay,Team,1,0,0,1951,M
A. S. Bakshi,India,Athletics,4 × 400 m relay,Team,1,0,0,1951,M
Govind Singh,India,Athletics,4 × 400 m relay,Team,1,0,0,1951,M
Balwant Singh,India,Athletics,4 × 400 m relay,Team,1,0,0,1951,M
Karnan Singh,India,Athletics,4 × 400 m relay,Team,1,0,0,1951,M
Chhota Singh,India,Athletics,Marathon,Single,1,0,0,1951,M
Mahabir Prasad,India,Athletics,"10,000 m walk",Single,1,0,0,1951,M
Bakhtawar Singh,India,Athletics,50 km walk,Single,1,0,0,1951,M
Andres Franco,Philippines,Athletics,High jump,Single,1,0,0,1951,M
Bunkichi Sawada,Japan,Athletics,Pole vault,Single,1,0,0,1951,M
Masaji Tajima,Japan,Athletics,Long jump,Single,1,0,0,1951,M
Yoshio Iimuro,Japan,Athletics,Triple jump,Single,1,0,0,1951,M
Madan Lal,India,Athletics,Shot put,Single,1,0,0,1951,M
Makhan Singh,India,Athletics,Discus throw,Single,1,0,0,1951,M
Fumio Kamamoto,Japan,Athletics,Hammer throw,Single,1,0,0,1951,M
Haruo Nagayasu,Japan,Athletics,Javelin throw,Single,1,0,0,1951,M
Fumio Nishiuchi,Japan,Athletics,Decathlon,Single,1,0,0,1951,M
Toshihiro Ohashi,Japan,Athletics,100 m,Single,0,1,0,1951,M
M. Gabriel,India,Athletics,200 m,Single,0,1,0,1951,M
A. S. Bakshi,India,Athletics,400 m,Single,0,1,0,1951,M
Kulwant Singh,India,Athletics,800 m,Single,0,1,0,1951,M
Susumu Takahashi,Japan,Athletics,1500 m,Single,0,1,0,1951,M
Pritam Singh,India,Athletics,5000 m,Single,0,1,0,1951,M
Ryosuke Takasugi,Japan,Athletics,"10,000 m",Single,0,1,0,1951,M
Michitaka Kinami,Japan,Athletics,110 m hurdles,Single,0,1,0,1951,M
Teja Singh,India,Athletics,400 m hurdles,Single,0,1,0,1951,M
Ali Baghbanbashi,Iran,Athletics,3000 m steeplechase,Single,0,1,0,1951,M
Lavy Pinto,India,Athletics,4 × 100 m relay,Team,0,1,0,1951,M
M. Gabriel,India,Athletics,4 × 100 m relay,Team,0,1,0,1951,M
Ram Swaroop,India,Athletics,4 × 100 m relay,Team,0,1,0,1951,M
Alfred Shamin,India,Athletics,4 × 100 m relay,Team,0,1,0,1951,M
Yorio Mizuyoke,Japan,Athletics,4 × 400 m relay,Team,0,1,0,1951,M
Ichiro Tao,Japan,Athletics,4 × 400 m relay,Team,0,1,0,1951,M
Fumio Nishiuchi,Japan,Athletics,4 × 400 m relay,Team,0,1,0,1951,M
Eitaro Okano,Japan,Athletics,4 × 400 m relay,Team,0,1,0,1951,M
Katsuo Nishida,Japan,Athletics,Marathon,Single,0,1,0,1951,M
Takeo Sato,Japan,Athletics,"10,000 m walk",Single,0,1,0,1951,M
B. Das,India,Athletics,50 km walk,Single,0,1,0,1951,M
Yukio Ishikawa,Japan,Athletics,High jump,Single,0,1,0,1951,M
M. A. Akbar,Ceylon,Athletics,Pole vault,Single,0,1,0,1951,M
Baldev Singh,India,Athletics,Long jump,Single,0,1,0,1951,M
Takashi Aso,Japan,Athletics,Triple jump,Single,0,1,0,1951,M
Sukeo Denda,Japan,Athletics,Shot put,Single,0,1,0,1951,M
Norimi Sato,Japan,Athletics,Discus throw,Single,0,1,0,1951,M
Somnath Chopra,India,Athletics,Hammer throw,Single,0,1,0,1951,M
Parsa Singh,India,Athletics,Javelin throw,Single,0,1,0,1951,M
Bunkichi Sawada,Japan,Athletics,Decathlon,Single,0,1,0,1951,M
Tomio Hosoda,Japan,Athletics,100 m,Single,0,0,1,1951,M
Tomio Hosoda,Japan,Athletics,200 m,Single,0,0,1,1951,M
Govind Singh,India,Athletics,400 m,Single,0,0,1,1951,M
Kikuo Moriya,Japan,Athletics,800 m,Single,0,0,1,1951,M
Kikuo Moriya,Japan,Athletics,1500 m,Single,0,0,1,1951,M
Soichi Tamoi,Japan,Athletics,5000 m,Single,0,0,1,1951,M
Gurbachan Singh,India,Athletics,"10,000 m",Single,0,0,1,1951,M
Lloyd Valberg,Singapore,Athletics,110 m hurdles,Single,0,0,1,1951,M
Ng Liang Chiang,Singapore,Athletics,400 m hurdles,Single,0,0,1,1951,M
Ajit Singh,India,Athletics,3000 m steeplechase,Single,0,0,1,1951,M
Genaro Cabrera,Philippines,Athletics,4 × 100 m relay,Team,0,0,1,1951,M
Tito Almagro,Philippines,Athletics,4 × 100 m relay,Team,0,0,1,1951,M
Jovencio Ardina,Philippines,Athletics,4 × 100 m relay,Team,0,0,1,1951,M
Bernabe Lovina,Philippines,Athletics,4 × 100 m relay,Team,0,0,1,1951,M
Bienvenido Llaneta,Philippines,Athletics,4 × 400 m relay,Team,0,0,1,1951,M
Bernabe Lovina,Philippines,Athletics,4 × 400 m relay,Team,0,0,1,1951,M
Tomas Bennet,Philippines,Athletics,4 × 400 m relay,Team,0,0,1,1951,M
Genaro Cabrera,Philippines,Athletics,4 × 400 m relay,Team,0,0,1,1951,M
Surat Singh Mathur,India,Athletics,Marathon,Single,0,0,1,1951,M
Kesar Singh,India,Athletics,"10,000 m walk",Single,0,0,1,1951,M
Takeo Sato,Japan,Athletics,50 km walk,Single,0,0,1,1951,M
Maram Sudarmodjo,Indonesia,Athletics,High jump,Single,0,0,1,1951,M
Shuhei Nishida,Japan,Athletics,Pole vault,Single,0,0,1,1951,M
Takashi Aso,Japan,Athletics,Long jump,Single,0,0,1,1951,M
Hendarsin,Indonesia,Athletics,Triple jump,Single,0,0,1,1951,M
Norimi Sato,Japan,Athletics,Shot put,Single,0,0,1,1951,M
Aurelio Amante,Philippines,Athletics,Discus throw,Single,0,0,1,1951,M
Kishen Singh,India,Athletics,Hammer throw,Single,0,0,1,1951,M
Matulessy,Indonesia,Athletics,Javelin throw,Single,0,0,1,1951,M
Khurshid Ahmed,India,Athletics,Decathlon,Single,0,0,1,1951,M
Kiyoko Sugimura,Japan,Athletics,100 m,Single,1,0,0,1951,F
Kimiko Okamoto,Japan,Athletics,200 m,Single,1,0,0,1951,F
Kyoko Yoneda,Japan,Athletics,80 m hurdles,Single,1,0,0,1951,F
Kimiko Okamoto,Japan,Athletics,4 × 100 m relay,Team,1,0,0,1951,F
Taeko Sato,Japan,Athletics,4 × 100 m relay,Team,1,0,0,1951,F
Ayako Yoshikawa,Japan,Athletics,4 × 100 m relay,Team,1,0,0,1951,F
Kiyoko Sugimura,Japan,Athletics,4 × 100 m relay,Team,1,0,0,1951,F
Kyoko Yoneda,Japan,Athletics,High jump,Single,1,0,0,1951,F
Kiyoko Sugimura,Japan,Athletics,Long jump,Single,1,0,0,1951,F
Toyoko Yoshino,Japan,Athletics,Shot put,Single,1,0,0,1951,F
Toyoko Yoshino,Japan,Athletics,Discus throw,Single,1,0,0,1951,F
Toyoko Yoshino,Japan,Athletics,Javelin throw,Single,1,0,0,1951,F
Roshan Mistry,India,Athletics,100 m,Single,0,1,0,1951,F
Laura Dowdswell,Singapore,Athletics,200 m,Single,0,1,0,1951,F
Laura Dowdswell,Singapore,Athletics,80 m hurdles,Single,0,1,0,1951,F
Mary D'Souza,India,Athletics,4 × 100 m relay,Team,0,1,0,1951,F
Roshan Mistry,India,Athletics,4 × 100 m relay,Team,0,1,0,1951,F
Banoo Gulzar,India,Athletics,4 × 100 m relay,Team,0,1,0,1951,F
Pat Mendonca,India,Athletics,4 × 100 m relay,Team,0,1,0,1951,F
Taeko Sato,Japan,Athletics,High jump,Single,0,1,0,1951,F
Ayako Yoshikawa,Japan,Athletics,Long jump,Single,0,1,0,1951,F
Fumi Kojima,Japan,Athletics,Shot put,Single,0,1,0,1951,F
Fumi Kojima,Japan,Athletics,Discus throw,Single,0,1,0,1951,F
Miyoko Kato,Japan,Athletics,Javelin throw,Single,0,1,0,1951,F
Kimiko Okamoto,Japan,Athletics,100 m,Single,0,0,1,1951,F
Mary D'Souza,India,Athletics,200 m,Single,0,0,1,1951,F
Taeko Sato,Japan,Athletics,80 m hurdles,Single,0,0,1,1951,F
Triwulan,Indonesia,Athletics,4 × 100 m relay,Team,0,0,1,1951,F
Darwati,Indonesia,Athletics,4 × 100 m relay,Team,0,0,1,1951,F
Surjowati,Indonesia,Athletics,4 × 100 m relay,Team,0,0,1,1951,F
Lie Djiang Nio,Indonesia,Athletics,4 × 100 m relay,Team,0,0,1,1951,F
Marie Semoes,India,Athletics,High jump,Single,0,0,1,1951,F
Sylvia Gauntlet,India,Athletics,Long jump,Single,0,0,1,1951,F
Barbara Webster,India,Athletics,Shot put,Single,0,0,1,1951,F
Annie Salamun,Indonesia,Athletics,Discus throw,Single,0,0,1,1951,F
Barbara Webster,India,Athletics,Javelin throw,Single,0,0,1,1951,F
Abdul Khaliq,Pakistan,Athletics,100 m,Single,1,0,0,1954,M
Muhammad Sharif Butt,Pakistan,Athletics,200 m,Single,1,0,0,1954,M
Kanji Akagi,Japan,Athletics,400 m,Single,1,0,0,1954,M
Yoshitaka Muroya,Japan,Athletics,800 m,Single,1,0,0,1954,M
Choi Yun-chil,South Korea,Athletics,1500 m,Single,1,0,0,1954,M
Osamu Inoue,Japan,Athletics,5000 m,Single,1,0,0,1954,M
Choi Chung-sik,South Korea,Athletics,"10,000 m",Single,1,0,0,1954,M
Sarwan Singh,India,Athletics,110 m hurdles,Single,1,0,0,1954,M
Mirza Khan,Pakistan,Athletics,400 m hurdles,Single,1,0,0,1954,M
Susumu Takahashi,Japan,Athletics,3000 m steeplechase,Single,1,0,0,1954,M
Masaji Tajima,Japan,Athletics,4 × 100 m relay,Team,1,0,0,1954,M
Yoshihiro Takatani,Japan,Athletics,4 × 100 m relay,Team,1,0,0,1954,M
Tomio Hosoda,Japan,Athletics,4 × 100 m relay,Team,1,0,0,1954,M
Akira Kiyofuji,Japan,Athletics,4 × 100 m relay,Team,1,0,0,1954,M
Akira Matsui,Japan,Athletics,4 × 400 m relay,Team,1,0,0,1954,M
Yoshitaka Muroya,Japan,Athletics,4 × 400 m relay,Team,1,0,0,1954,M
Nobuaki Matsuno,Japan,Athletics,4 × 400 m relay,Team,1,0,0,1954,M
Kanji Akagi,Japan,Athletics,4 × 400 m relay,Team,1,0,0,1954,M
Ajit Singh Balla,India,Athletics,High jump,Single,1,0,0,1954,M
Bunkichi Sawada,Japan,Athletics,Pole vault,Single,1,0,0,1954,M
Noriaki Sagawa,Japan,Athletics,Long jump,Single,1,0,0,1954,M
Noriaki Sagawa,Japan,Athletics,Triple jump,Single,1,0,0,1954,M
Parduman Singh Brar,India,Athletics,Shot put,Single,1,0,0,1954,M
Parduman Singh Brar,India,Athletics,Discus throw,Single,1,0,0,1954,M
Yoshio Kojima,Japan,Athletics,Hammer throw,Single,1,0,0,1954,M
Muhammad Nawaz,Pakistan,Athletics,Javelin throw,Single,1,0,0,1954,M
Yang Chuan-kwang,Republic of China,Athletics,Decathlon,Single,1,0,0,1954,M
Genaro Cabrera,Philippines,Athletics,100 m,Single,0,1,0,1954,M
Khwaja Muhammad Aslam,Pakistan,Athletics,200 m,Single,0,1,0,1954,M
Joginder Singh Dhanaor,India,Athletics,400 m,Single,0,1,0,1954,M
Sohan Singh Dhanoa,India,Athletics,800 m,Single,0,1,0,1954,M
Yoshitaka Muroya,Japan,Athletics,1500 m,Single,0,1,0,1954,M
Choi Yun-chil,South Korea,Athletics,5000 m,Single,0,1,0,1954,M
Jiro Yamauchi,Japan,Athletics,"10,000 m",Single,0,1,0,1954,M
Yukiyoshi Kawata,Japan,Athletics,110 m hurdles,Single,0,1,0,1954,M
Chan Onn Leng,Singapore,Athletics,400 m hurdles,Single,0,1,0,1954,M
Yasumasa Shirasagi,Japan,Athletics,3000 m steeplechase,Single,0,1,0,1954,M
Abdul Khaliq,Pakistan,Athletics,4 × 100 m relay,Team,0,1,0,1954,M
Muhammad Sharif Butt,Pakistan,Athletics,4 × 100 m relay,Team,0,1,0,1954,M
Khwaja Muhammad Aslam,Pakistan,Athletics,4 × 100 m relay,Team,0,1,0,1954,M
Abdul Aziz,Pakistan,Athletics,4 × 100 m relay,Team,0,1,0,1954,M
Joginder Singh Dhanaor,India,Athletics,4 × 400 m relay,Team,0,1,0,1954,M
Ivan Jacob,India,Athletics,4 × 400 m relay,Team,0,1,0,1954,M
Harjeet Singh,India,Athletics,4 × 400 m relay,Team,0,1,0,1954,M
J. B. Joseph,India,Athletics,4 × 400 m relay,Team,0,1,0,1954,M
Yukio Ishikawa,Japan,Athletics,High jump,Single,0,1,0,1954,M
Toyokichi Matsumoto,Japan,Athletics,Pole vault,Single,0,1,0,1954,M
Yoshiro Sonoda,Japan,Athletics,Long jump,Single,0,1,0,1954,M
Yoshio Iimuro,Japan,Athletics,Triple jump,Single,0,1,0,1954,M
Yoshio Kojima,Japan,Athletics,Shot put,Single,0,1,0,1954,M
Chi Pei-lin,Republic of China,Athletics,Discus throw,Single,0,1,0,1954,M
Muhammad Iqbal,Pakistan,Athletics,Hammer throw,Single,0,1,0,1954,M
Jalal Khan,Pakistan,Athletics,Javelin throw,Single,0,1,0,1954,M
Fumio Nishiuchi,Japan,Athletics,Decathlon,Single,0,1,0,1954,M
M. Gabriel,India,Athletics,100 m,Single,0,0,1,1954,M
Stephen Xavier,Hong Kong,Athletics,200 m,Single,0,0,1,1954,M
Chen Ying-lang,Republic of China,Athletics,400 m,Single,0,0,1,1954,M
Michio Ueki,Japan,Athletics,800 m,Single,0,0,1,1954,M
Michio Ueki,Japan,Athletics,1500 m,Single,0,0,1,1954,M
Dalu Ram,India,Athletics,5000 m,Single,0,0,1,1954,M
Pi Li-ming,Republic of China,Athletics,"10,000 m",Single,0,0,1,1954,M
Takehiko Nakajima,Japan,Athletics,110 m hurdles,Single,0,0,1,1954,M
Jaime Pimental,Philippines,Athletics,400 m hurdles,Single,0,0,1,1954,M
Dalu Ram,India,Athletics,3000 m steeplechase,Single,0,0,1,1954,M
Genaro Cabrera,Philippines,Athletics,4 × 100 m relay,Team,0,0,1,1954,M
Gaspar Azares,Philippines,Athletics,4 × 100 m relay,Team,0,0,1,1954,M
Eusebio Ensong,Philippines,Athletics,4 × 100 m relay,Team,0,0,1,1954,M
Pedro Subido,Philippines,Athletics,4 × 100 m relay,Team,0,0,1,1954,M
Pablo Somblingo,Philippines,Athletics,4 × 400 m relay,Team,0,0,1,1954,M
Cipriano Niera,Philippines,Athletics,4 × 400 m relay,Team,0,0,1,1954,M
Mauricio Paubaya,Philippines,Athletics,4 × 400 m relay,Team,0,0,1,1954,M
Ernesto Rodriguez,Philippines,Athletics,4 × 400 m relay,Team,0,0,1,1954,M
Andres Franco,Philippines,Athletics,High jump,Single,0,0,1,1954,M
Lai Yu-tao,Republic of China,Athletics,Pole vault,Single,0,0,1,1954,M
Lin Te-sheng,Republic of China,Athletics,Long jump,Single,0,0,1,1954,M
Choi Yong-kee,South Korea,Athletics,Triple jump,Single,0,0,1,1954,M
Ishar Singh,India,Athletics,Shot put,Single,0,0,1,1954,M
Liu Ching,Republic of China,Athletics,Discus throw,Single,0,0,1,1954,M
Song Kyo-sik,South Korea,Athletics,Hammer throw,Single,0,0,1,1954,M
Haruo Nagayasu,Japan,Athletics,Javelin throw,Single,0,0,1,1954,M
Ronnie O'Brien,India,Athletics,Decathlon,Single,0,0,1,1954,M
Atsuko Nambu,Japan,Athletics,100 m,Single,1,0,0,1954,F
Midori Tanaka,Japan,Athletics,200 m,Single,1,0,0,1954,F
Michiko Iwamoto,Japan,Athletics,80 m hurdles,Single,1,0,0,1954,F
Christine Brown,India,Athletics,4 × 100 m relay,Team,1,0,0,1954,F
Stephie D'Souza,India,Athletics,4 × 100 m relay,Team,1,0,0,1954,F
Violet Peters,India,Athletics,4 × 100 m relay,Team,1,0,0,1954,F
Mary D'Souza,India,Athletics,4 × 100 m relay,Team,1,0,0,1954,F
Ahuva Kraus,Israel,Athletics,High jump,Single,1,0,0,1954,F
Yoshie Takahashi,Japan,Athletics,Long jump,Single,1,0,0,1954,F
Toyoko Yoshino,Japan,Athletics,Shot put,Single,1,0,0,1954,F
Toyoko Yoshino,Japan,Athletics,Discus throw,Single,1,0,0,1954,F
Akiko Kurihara,Japan,Athletics,Javelin throw,Single,1,0,0,1954,F
Mary Klass,Singapore,Athletics,100 m,Single,0,1,0,1954,F
Atsuko Nambu,Japan,Athletics,200 m,Single,0,1,0,1954,F
Miyo Miyashita,Japan,Athletics,80 m hurdles,Single,0,1,0,1954,F
Kimiko Okamoto,Japan,Athletics,4 × 100 m relay,Team,0,1,0,1954,F
Atsuko Nambu,Japan,Athletics,4 × 100 m relay,Team,0,1,0,1954,F
Michiko Iwamoto,Japan,Athletics,4 × 100 m relay,Team,0,1,0,1954,F
Midori Tanaka,Japan,Athletics,4 × 100 m relay,Team,0,1,0,1954,F
Miyoko Takahashi,Japan,Athletics,High jump,Single,0,1,0,1954,F
Atsuko Nambu,Japan,Athletics,Long jump,Single,0,1,0,1954,F
Motoko Yoshida,Japan,Athletics,Shot put,Single,0,1,0,1954,F
Taeko Nomura,Japan,Athletics,Discus throw,Single,0,1,0,1954,F
Yasuko Inden,Japan,Athletics,Javelin throw,Single,0,1,0,1954,F
Christine Brown,India,Athletics,100 m,Single,0,0,1,1954,F
Inocencia Solis,Philippines,Athletics,200 m,Single,0,0,1,1954,F
Tang Pui Wah,Singapore,Athletics,80 m hurdles,Single,0,0,1,1954,F
Inocencia Solis,Philippines,Athletics,4 × 100 m relay,Team,0,0,1,1954,F
Rogelia Ferrer,Philippines,Athletics,4 × 100 m relay,Team,0,0,1,1954,F
Manolita Cinco,Philippines,Athletics,4 × 100 m relay,Team,0,0,1,1954,F
Roberta Anore,Philippines,Athletics,4 × 100 m relay,Team,0,0,1,1954,F
Mieko Muro,Japan,Athletics,High jump,Single,0,0,1,1954,F
Mikiko Tazaki,Japan,Athletics,Long jump,Single,0,0,1,1954,F
Yuriko Mizoguchi,Japan,Athletics,Shot put,Single,0,0,1,1954,F
Yuriko Mizoguchi,Japan,Athletics,Discus throw,Single,0,0,1,1954,F
Vivencia Subido,Philippines,Athletics,Javelin throw,Single,0,0,1,1954,F
Francisco Calilan,Philippines,Basketball,Men,Team,1,0,0,1951,F
Andres dela Cruz,Philippines,Basketball,Men,Team,1,0,0,1951,F
Genaro Fernandez,Philippines,Basketball,Men,Team,1,0,0,1951,F
Jose Gochangco,Philippines,Basketball,Men,Team,1,0,0,1951,F
Rafael Hechanova,Philippines,Basketball,Men,Team,1,0,0,1951,F
Moro Lorenzo,Philippines,Basketball,Men,Team,1,0,0,1951,F
Carlos Loyzaga,Philippines,Basketball,Men,Team,1,0,0,1951,F
Antonio Martinez,Philippines,Basketball,Men,Team,1,0,0,1951,F
Lauro Mumar,Philippines,Basketball,Men,Team,1,0,0,1951,F
Ignacio Ramos,Philippines,Basketball,Men,Team,1,0,0,1951,F
Meliton Santos,Philippines,Basketball,Men,Team,1,0,0,1951,F
Mariano Tolentino,Philippines,Basketball,Men,Team,1,0,0,1951,F
Makoto Arai,Japan,Basketball,Men,Team,0,1,0,1951,F
Mitsugu Hachiya,Japan,Basketball,Men,Team,0,1,0,1951,F
Hiroshi Ikeda,Japan,Basketball,Men,Team,0,1,0,1951,F
Junichi Iwao,Japan,Basketball,Men,Team,0,1,0,1951,F
Michio Katayama,Japan,Basketball,Men,Team,0,1,0,1951,F
Fumio Matsuoka,Japan,Basketball,Men,Team,0,1,0,1951,F
Kasaburo Ogura,Japan,Basketball,Men,Team,0,1,0,1951,F
Shuzo Okubo,Japan,Basketball,Men,Team,0,1,0,1951,F
Shigeru Saito,Japan,Basketball,Men,Team,0,1,0,1951,F
Minoru Takahashi,Japan,Basketball,Men,Team,0,1,0,1951,F
Mitsuhide Tsudi,Japan,Basketball,Men,Team,0,1,0,1951,F
Hassan Khaleghpour,Iran,Basketball,Men,Team,0,0,1,1951,F
Kamal Mashhoun,Iran,Basketball,Men,Team,0,0,1,1951,F
Reza Masoumi,Iran,Basketball,Men,Team,0,0,1,1951,F
Kambiz Mokhberi,Iran,Basketball,Men,Team,0,0,1,1951,F
Alireza Oshar,Iran,Basketball,Men,Team,0,0,1,1951,F
Hossein Razi,Iran,Basketball,Men,Team,0,0,1,1951,F
Mashallah Safiyar,Iran,Basketball,Men,Team,0,0,1,1951,F
Abolfazl Solbi,Iran,Basketball,Men,Team,0,0,1,1951,F
Hossein Soroudi,Iran,Basketball,Men,Team,0,0,1,1951,F
Hossein Soudipour,Iran,Basketball,Men,Team,0,0,1,1951,F
Bayani Amador,Philippines,Basketball,Men,Team,1,0,0,1954,M
Florentino Bautista,Philippines,Basketball,Men,Team,1,0,0,1954,M
Jose Maria Cacho,Philippines,Basketball,Men,Team,1,0,0,1954,M
Napoleon Flores,Philippines,Basketball,Men,Team,1,0,0,1954,M
Antonio Genato,Philippines,Basketball,Men,Team,1,0,0,1954,M
Rafael Hechanova,Philippines,Basketball,Men,Team,1,0,0,1954,M
Eduardo Lim,Philippines,Basketball,Men,Team,1,0,0,1954,M
Carlos Loyzaga,Philippines,Basketball,Men,Team,1,0,0,1954,M
Ramon Manulat,Philippines,Basketball,Men,Team,1,0,0,1954,M
Lauro Mumar,Philippines,Basketball,Men,Team,1,0,0,1954,M
Francisco Rabat,Philippines,Basketball,Men,Team,1,0,0,1954,M
Ignacio Ramos,Philippines,Basketball,Men,Team,1,0,0,1954,M
Ponciano Saldaña,Philippines,Basketball,Men,Team,1,0,0,1954,M
Mariano Tolentino,Philippines,Basketball,Men,Team,1,0,0,1954,M
Hoo Cha-pen,Republic of China,Basketball,Men,Team,0,1,0,1954,M
Lai Lam-kwong,Republic of China,Basketball,Men,Team,0,1,0,1954,M
Edward Lee,Republic of China,Basketball,Men,Team,0,1,0,1954,M
Jose Lim,Republic of China,Basketball,Men,Team,0,1,0,1954,M
Julian Lim,Republic of China,Basketball,Men,Team,0,1,0,1954,M
Ling Jing-huan,Republic of China,Basketball,Men,Team,0,1,0,1954,M
Joachim Poon,Republic of China,Basketball,Men,Team,0,1,0,1954,M
Tong Suet-fong,Republic of China,Basketball,Men,Team,0,1,0,1954,M
Tsai Bon-hua,Republic of China,Basketball,Men,Team,0,1,0,1954,M
Wang Yih-jiun,Republic of China,Basketball,Men,Team,0,1,0,1954,M
Wu Yet-an,Republic of China,Basketball,Men,Team,0,1,0,1954,M
Joachim Yao,Republic of China,Basketball,Men,Team,0,1,0,1954,M
James Yap,Republic of China,Basketball,Men,Team,0,1,0,1954,M
Yung Pi-hock,Republic of China,Basketball,Men,Team,0,1,0,1954,M
Hirokazu Arai,Japan,Basketball,Men,Team,0,0,1,1954,M
Jyunya Arai,Japan,Basketball,Men,Team,0,0,1,1954,M
Riichi Arai,Japan,Basketball,Men,Team,0,0,1,1954,M
Takashi Itoyama,Japan,Basketball,Men,Team,0,0,1,1954,M
Takeshi Kinoshita,Japan,Basketball,Men,Team,0,0,1,1954,M
Hitoshi Konno,Japan,Basketball,Men,Team,0,0,1,1954,M
Hisashi Nagashima,Japan,Basketball,Men,Team,0,0,1,1954,M
Shozo Noguchi,Japan,Basketball,Men,Team,0,0,1,1954,M
Hiroshi Saito,Japan,Basketball,Men,Team,0,0,1,1954,M
Shigeuji Saito,Japan,Basketball,Men,Team,0,0,1,1954,M
Shutaro Shoji,Japan,Basketball,Men,Team,0,0,1,1954,M
Takeo Sugiyama,Japan,Basketball,Men,Team,0,0,1,1954,M
Ernesto Sajo,Philippines,Boxing,Flyweight(51 kg) ,Single,1,0,0,1954,M
Alejandro Ortuoste,Philippines,Boxing,Bantamweight(54 kg) ,Single,1,0,0,1954,M
Park Kum-hyun,South Korea,Boxing,Featherweight(57 kg) ,Single,1,0,0,1954,M
Celedonio Espinosa,Philippines,Boxing,Lightweight(60 kg) ,Single,1,0,0,1954,M
Ernesto Porto,Philippines,Boxing,Light welterweight(63.5 kg) ,Single,1,0,0,1954,M
Kazuma Fujimoto,Japan,Boxing,Welterweight(67 kg) ,Single,1,0,0,1954,M
Vicente Tunacao,Philippines,Boxing,Light middleweight(71 kg) ,Single,1,0,0,1954,M
Lee Jang-kyo,South Korea,Boxing,Flyweight(51 kg) ,Single,0,1,0,1954,M
Hempala Jayasuriya,Ceylon,Boxing,Bantamweight(54 kg) ,Single,0,1,0,1954,M
Mauro Dizon,Philippines,Boxing,Featherweight(57 kg) ,Single,0,1,0,1954,M
Henry Wong,Republic of China,Boxing,Lightweight(60 kg) ,Single,0,1,0,1954,M
Lee Sam-yong,South Korea,Boxing,Light welterweight(63.5 kg) ,Single,0,1,0,1954,M
