Name,Gender,Country,Year,Host_City,Sport,Event,Sport_Type,Gold,Silver,Bronze
Udham Singh Kular,M,India,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,1,0,0
Tsuyoshi Yamanaka,M,Japan,1956,Melbourne,Swimming,Swimming Men's 400 metres Freestyle,Individual,0,1,0
Nobuyuki Aihara,M,Japan,1956,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,Team,0,1,0
Masami Kubota,M,Japan,1956,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,Team,0,1,0
Masami Kubota,M,Japan,1956,Melbourne,Gymnastics,Gymnastics Men's Parallel Bars,Individual,0,1,0
Nobuyuki Aihara,M,Japan,1956,Melbourne,Gymnastics,Gymnastics Men's Floor Exercise,Individual,0,1,0
Amit Singh Bakshi,M,India,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,1,0,0
Charles Stephen,M,India,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,1,0,0
Masami Kubota,M,Japan,1956,Melbourne,Gymnastics,Gymnastics Men's Rings,Team,0,0,1
Zakir Hussain,M,Pakistan,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,0,1,0
Munir Ahmed Dar,M,Pakistan,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,0,1,0
Amir Chand Kumar,M,India,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,1,0,0
Motiullah Khan,M,Pakistan,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,0,1,0
Masao Takemoto,M,Japan,1956,Melbourne,Gymnastics,Gymnastics Men's Rings,Team,0,0,1
Mahmoud Namdjou,M,Iran,1956,Melbourne,Weightlifting,Weightlifting Men's Bantamweight,Individual,0,0,1
Noor Alam,M,Pakistan,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,0,1,0
Mohamed Mehdi Yaghoubi,M,Iran,1956,Melbourne,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Individual,0,1,0
Masao Takemoto,M,Japan,1956,Melbourne,Gymnastics,Gymnastics Men's Parallel Bars,Team,0,0,1
Shigeru Kasahara,M,Japan,1956,Melbourne,Wrestling,"Wrestling Men's Lightweight, Freestyle",Individual,0,1,0
Masao Takemoto,M,Japan,1956,Melbourne,Gymnastics,Gymnastics Men's Horizontal Bar,Individual,0,0,1
Abdul Hamid,M,Pakistan,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,0,1,0
Raghbir Singh Bhola,M,India,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,1,0,0
Akira Kono,M,Japan,1956,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,Team,0,1,0
Tsuyoshi Yamanaka,M,Japan,1956,Melbourne,Swimming,"Swimming Men's 1,500 metres Freestyle",Individual,0,1,0
Raghbir Lal Sharma,M,India,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,1,0,0
Randhir Singh Gentle,M,India,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,1,0,0
Shankar Pillay Laxman,M,India,1956,Melbourne,Hockey,Hockey Men's Hockey,Team,1,0,0
Mohamed Paziraie,M,Iran,1960,Roma,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Individual,0,0,1
Gholam Reza Takhti,M,Iran,1960,Roma,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Individual,0,1,0
Shuji Tsurumi,M,Japan,1960,Roma,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
"Howe Liang ""Tiger"" Tan",M,Singapore,1960,Roma,Weightlifting,Weightlifting Men's Lightweight,Individual,0,1,0
Ahmed Naseer Bunda,M,Pakistan,1960,Roma,Hockey,Hockey Men's Hockey,Team,1,0,0
Charanjit Singh,M,India,1960,Roma,Hockey,Hockey Men's Hockey,Team,0,1,0
Makoto Fukui,M,Japan,1960,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Team,0,1,0
Masao Takemoto,M,Japan,1960,Roma,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
"Yang Chuan-Kwang ""C. K.""",M,Chinese Taipei,1960,Roma,Athletics,Athletics Men's Decathlon,Individual,0,1,0
"Victor John ""V. J."" Peter",M,India,1960,Roma,Hockey,Hockey Men's Hockey,Team,0,1,0
Kiyoshi Tanabe,M,Japan,1960,Roma,Boxing,Boxing Men's Flyweight,Individual,0,0,1
"Joginder ""Gindi"" Singh",M,India,1960,Roma,Hockey,Hockey Men's Hockey,Team,0,1,0
Kazuo Tomita,M,Japan,1960,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Team,0,0,1
Mohinder Lal,M,India,1960,Roma,Hockey,Hockey Men's Hockey,Team,0,1,0
Satoko Tanaka (-Uji),F,Japan,1960,Roma,Swimming,Swimming Women's 100 metres Backstroke,Individual,0,0,1
Chaudhry Ghulam Rasool,M,Pakistan,1960,Roma,Hockey,Hockey Men's Hockey,Team,1,0,0
Tatsuo Fujimoto,M,Japan,1960,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Team,0,1,0
Tsuyoshi Yamanaka,M,Japan,1960,Roma,Swimming,Swimming Men's 400 metres Freestyle,Individual,0,1,0
Shankar Pillay Laxman,M,India,1960,Roma,Hockey,Hockey Men's Hockey,Team,0,1,0
Masao Takemoto,M,Japan,1960,Roma,Gymnastics,Gymnastics Men's Horizontal Bar,Individual,0,1,0
Yoshihiko Osaki,M,Japan,1960,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Team,0,0,1
Tsuyoshi Yamanaka,M,Japan,1960,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Team,0,1,0
Habib Ali Kiddie,M,Pakistan,1960,Roma,Hockey,Hockey Men's Hockey,Team,1,0,0
Khurshid Aslam,M,Pakistan,1960,Roma,Hockey,Hockey Men's Hockey,Team,1,0,0
Mohamed Ibrahim Seifpour Saidabadi,M,Iran,1960,Roma,Wrestling,"Wrestling Men's Flyweight, Freestyle",Individual,0,0,1
Yoshihisa Yoshikawa,M,Japan,1960,Roma,Shooting,"Shooting Men's Free Pistol, 50 metres",Individual,0,0,1
Leslie Walter Claudius,M,India,1960,Roma,Hockey,Hockey Men's Hockey,Team,0,1,0
Jaswant Singh,M,India,1960,Roma,Hockey,Hockey Men's Hockey,Team,0,1,0
Yoshihiko Osaki,M,Japan,1960,Roma,Swimming,Swimming Men's 200 metres Breaststroke,Individual,0,1,0
Kazuo Watanabe,M,Japan,1960,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Team,0,0,1
Koichi Hirakida,M,Japan,1960,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Team,0,0,1
"Joseph Anthony ""Joe"" Antic",M,India,1960,Roma,Hockey,Hockey Men's Hockey,Team,0,1,0
Yukio Endo,M,Japan,1960,Roma,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
Motiullah Khan,M,Pakistan,1960,Roma,Hockey,Hockey Men's Hockey,Team,1,0,0
Udham Singh Kular,M,India,1960,Roma,Hockey,Hockey Men's Hockey,Team,0,1,0
Ismail Elm Khah,M,Iran,1960,Roma,Weightlifting,Weightlifting Men's Bantamweight,Individual,0,0,1
Noor Alam,M,Pakistan,1960,Roma,Hockey,Hockey Men's Hockey,Team,1,0,0
Raghbir Singh Bhola,M,India,1960,Roma,Hockey,Hockey Men's Hockey,Team,0,1,0
Keigo Shimizu,M,Japan,1960,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Team,0,0,1
Nobuyuki Aihara,M,Japan,1960,Roma,Gymnastics,Gymnastics Men's Floor Exercise,Individual,1,0,0
Nobuyuki Aihara,M,Japan,1960,Roma,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
Mushtaq Ahmed,M,Pakistan,1960,Roma,Hockey,Hockey Men's Hockey,Team,1,0,0
Abdul Hamid,M,Pakistan,1960,Roma,Hockey,Hockey Men's Hockey,Team,1,0,0
Bashir Ahmed,M,Pakistan,1960,Roma,Hockey,Hockey Men's Hockey,Team,1,0,0
Jaman Lal Sharma,M,India,1960,Roma,Hockey,Hockey Men's Hockey,Team,0,1,0
Lala Abdul Rashid,M,Pakistan,1960,Roma,Hockey,Hockey Men's Hockey,Team,1,0,0
Manzoor Hussain Atif,M,Pakistan,1960,Roma,Hockey,Hockey Men's Hockey,Team,1,0,0
Yoshinobu Miyake,M,Japan,1960,Roma,Weightlifting,Weightlifting Men's Bantamweight,Individual,0,1,0
Prithipal Singh,M,India,1960,Roma,Hockey,Hockey Men's Hockey,Team,0,1,0
Takashi Ono,M,Japan,1960,Roma,Gymnastics,Gymnastics Men's Horse Vault,Individual,1,0,0
Masayuki Matsubara,M,Japan,1960,Roma,Wrestling,"Wrestling Men's Flyweight, Freestyle",Individual,0,1,0
Takashi Ono,M,Japan,1960,Roma,Gymnastics,Gymnastics Men's Horizontal Bar,Individual,1,0,0
