Name,Gender,Country,Year,Host_City,Sport,Event,Sport_Type,Gold,Silver,Bronze
Yuki Sato,F,Japan,2004,Athina,Softball,Softball Women's Softball,Team,0,0,1
Hiroyuki Tomita,M,Japan,2004,Athina,Gymnastics,Gymnastics Men's Parallel Bars,Individual,0,1,0
Hiroyuki Tomita,M,Japan,2004,Athina,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
Rie Sato,F,Japan,2004,Athina,Softball,Softball Women's Softball,Team,0,0,1
Hiroko Sakai,F,Japan,2004,Athina,Softball,Softball Women's Softball,Team,0,0,1
Wang Liqin,M,China,2004,Athina,Table Tennis,Table Tennis Men's Singles,Individual,0,0,1
Yoshihiro Okumura,M,Japan,2004,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Team,0,0,1
Juri Tatsumi,F,Japan,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,1,0
Naoko Sakamoto,F,Japan,2004,Athina,Softball,Softball Women's Softball,Team,0,0,1
Miho Takeda,F,Japan,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,1,0
Tan Xue,F,China,2004,Athina,Fencing,"Fencing Women's Sabre, Individual",Individual,0,1,0
Chikara Tanabe,M,Japan,2004,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Individual,0,0,1
Yukiko Ueno,F,Japan,2004,Athina,Softball,Softball Women's Softball,Team,0,0,1
Shi Zhiyong,M,China,2004,Athina,Weightlifting,Weightlifting Men's Featherweight,Individual,1,0,0
Masato Uchishiba,M,Japan,2004,Athina,Judo,Judo Men's Half-Lightweight,Individual,1,0,0
Rajyavardhan Singh Rathore,M,India,2004,Athina,Shooting,Shooting Men's Double Trap,Individual,0,1,0
Teng Haibin,M,China,2004,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,Individual,1,0,0
Hossein Reza Zadeh,M,Iran,2004,Athina,Weightlifting,Weightlifting Men's Super-Heavyweight,Individual,1,0,0
Ali Reza Rezaei,M,Iran,2004,Athina,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Individual,0,1,0
Wang Hao,M,China,2004,Athina,Table Tennis,Table Tennis Men's Singles,Individual,0,1,0
Wang Nan,F,China,2004,Athina,Table Tennis,Table Tennis Women's Doubles,Team,1,0,0
Wang Haibin,M,China,2004,Athina,Fencing,"Fencing Men's Foil, Team",Team,0,1,0
Michihiro Ogasawara,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Yoshitomo Tani,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Koji Uehara,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Naoya Tsukahara,M,Japan,2004,Athina,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
Ri Song-Hui,F,North Korea,2004,Athina,Weightlifting,Weightlifting Women's Lightweight,Individual,0,1,0
Masae Ueno,F,Japan,2004,Athina,Judo,Judo Women's Middleweight,Individual,1,0,0
Naoyuki Shimizu,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Wang Cheng-Pang,M,Chinese Taipei,2004,Athina,Archery,Archery Men's Team,Team,0,1,0
Keiji Suzuki,M,Japan,2004,Athina,Judo,Judo Men's Heavyweight,Individual,1,0,0
Maki Tsukada,F,Japan,2004,Athina,Judo,Judo Women's Heavyweight,Individual,1,0,0
Raema Lisa Rumbewas,F,Indonesia,2004,Athina,Weightlifting,Weightlifting Women's Featherweight,Individual,0,1,0
Tsuyoshi Wada,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Oh Seong-Ok,F,South Korea,2004,Athina,Handball,Handball Women's Handball,Team,0,1,0
Ayumi Tanimoto,F,Japan,2004,Athina,Judo,Judo Women's Half-Middleweight,Individual,1,0,0
Ai Shibata,F,Japan,2004,Athina,Swimming,Swimming Women's 800 metres Freestyle,Individual,1,0,0
Oh Yeong-Ran,F,South Korea,2004,Athina,Handball,Handball Women's Handball,Team,0,1,0
Wang Chengyi,F,China,2004,Athina,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Individual,0,0,1
Emiko Suzuki,F,Japan,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,1,0
Luo Wei,F,China,2004,Athina,Taekwondo,Taekwondo Women's Welterweight,Individual,1,0,0
Feng Kun,F,China,2004,Athina,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Aleksandr Dokturishvili,M,Uzbekistan,2004,Athina,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Individual,1,0,0
Yousef Karami,M,Iran,2004,Athina,Taekwondo,Taekwondo Men's Welterweight,Individual,0,0,1
Li Jie,M,China,2004,Athina,Shooting,"Shooting Men's Air Rifle, 10 metres",Individual,0,1,0
Dong Zhaozhi,M,China,2004,Athina,Fencing,"Fencing Men's Foil, Team",Team,0,1,0
Dmitry Vasilyevich Karpov,M,Kazakhstan,2004,Athina,Athletics,Athletics Men's Decathlon,Individual,0,0,1
Li Ji,F,China,2004,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Team,0,1,0
Takehiro Kashima,M,Japan,2004,Athina,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
Du Li,F,China,2004,Athina,Shooting,"Shooting Women's Air Rifle, 10 metres",Individual,1,0,0
Takehiro Kashima,M,Japan,2004,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,Individual,0,0,1
Yu Yong-Seong,M,South Korea,2004,Athina,Badminton,Badminton Men's Doubles,Team,0,1,0
Yang Wenjun,M,China,2004,Athina,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Team,1,0,0
Li Ching,M,Hong Kong,2004,Athina,Table Tennis,Table Tennis Men's Doubles,Team,0,1,0
Zhang Ping,F,China,2004,Athina,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Yuan Shu-Chi,F,Chinese Taipei,2004,Athina,Archery,Archery Women's Team,Team,0,0,1
Ha Tae-Gwon,M,South Korea,2004,Athina,Badminton,Badminton Men's Doubles,Team,1,0,0
Zhang Ning,F,China,2004,Athina,Badminton,Badminton Women's Singles,Individual,1,0,0
Zhang Nan,F,China,2004,Athina,Gymnastics,Gymnastics Women's Individual All-Around,Individual,0,0,1
Naoko Kawashima,F,Japan,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,1,0
Yang Wei,F,China,2004,Athina,Badminton,Badminton Women's Doubles,Team,1,0,0
Lee Won-Hui,M,South Korea,2004,Athina,Judo,Judo Men's Lightweight,Individual,1,0,0
Hian Eng,M,Indonesia,2004,Athina,Badminton,Badminton Men's Doubles,Team,0,0,1
Xu Yanwei,F,China,2004,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Team,0,1,0
Khashbaataryn Tsagaanbaatar,M,Mongolia,2004,Athina,Judo,Judo Men's Extra-Lightweight,Individual,0,0,1
Zhang Na,F,China,2004,Athina,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Lee Seong-Jin,F,South Korea,2004,Athina,Archery,Archery Women's Team,Team,1,0,0
Kyoko Hamaguchi,F,Japan,2004,Athina,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Individual,0,0,1
Lee Seong-Jin,F,South Korea,2004,Athina,Archery,Archery Women's Individual,Individual,0,1,0
Makoto Kaneko,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Wandee Kameaim,F,Thailand,2004,Athina,Weightlifting,Weightlifting Women's Lightweight,Individual,0,0,1
Liu Yanan,F,China,2004,Athina,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Xian Dongmei,F,China,2004,Athina,Judo,Judo Women's Half-Lightweight,Individual,1,0,0
Liu Xiang,M,China,2004,Athina,Athletics,Athletics Men's 110 metres Hurdles,Individual,1,0,0
Jiang Yonghua,F,China,2004,Athina,Cycling,Cycling Women's 500 metres Time Trial,Individual,0,1,0
Liu Xia,F,China,2004,Athina,Judo,Judo Women's Half-Heavyweight,Individual,0,1,0
Zhao Ruirui,F,China,2004,Athina,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Liu Ming-Huang,M,Chinese Taipei,2004,Athina,Archery,Archery Men's Team,Team,0,1,0
Saho Harada,F,Japan,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,1,0
Guo Jingjing,F,China,2004,Athina,Diving,Diving Women's Synchronized Springboard,Team,1,0,0
Choi Im-Jeong,F,South Korea,2004,Athina,Handball,Handball Women's Handball,Team,0,1,0
Lin Sang,F,China,2004,Athina,Archery,Archery Women's Team,Team,0,1,0
Zhang Yuehong,F,China,2004,Athina,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Choi Min-Ho,M,South Korea,2004,Athina,Judo,Judo Men's Extra-Lightweight,Individual,0,0,1
Jin Jong-O,M,South Korea,2004,Athina,Shooting,"Shooting Men's Free Pistol, 50 metres",Individual,0,1,0
Flandy Limpele,M,Indonesia,2004,Athina,Badminton,Badminton Men's Doubles,Team,0,0,1
Xing Huina,F,China,2004,Athina,Athletics,"Athletics Women's 10,000 metres",Individual,1,0,0
Chu Mu-Yen,M,Chinese Taipei,2004,Athina,Taekwondo,Taekwondo Men's Flyweight,Individual,1,0,0
Li Zhuo,F,China,2004,Athina,Weightlifting,Weightlifting Women's Flyweight,Individual,0,1,0
Jo Seok-Hwan,M,South Korea,2004,Athina,Boxing,Boxing Men's Featherweight,Individual,0,0,1
Zhang Yining,F,China,2004,Athina,Table Tennis,Table Tennis Women's Doubles,Team,1,0,0
Zhang Yining,F,China,2004,Athina,Table Tennis,Table Tennis Women's Singles,Individual,1,0,0
Kenji Johjima,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Li Xiaopeng,M,China,2004,Athina,Gymnastics,Gymnastics Men's Parallel Bars,Individual,0,0,1
Li Ting,F,China,2004,Athina,Diving,Diving Women's Synchronized Platform,Team,1,0,0
Li Ting,F,China,2004,Athina,Tennis,Tennis Women's Doubles,Team,1,0,0
Li Shan,F,China,2004,Athina,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Yu Seung-Min,M,South Korea,2004,Athina,Table Tennis,Table Tennis Men's Singles,Individual,1,0,0
Yoko Yoneda,F,Japan,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,1,0
Utkirbek Khaydarov,M,Uzbekistan,2004,Athina,Boxing,Boxing Men's Light-Heavyweight,Individual,0,0,1
Sony Dwi Kuncoro,M,Indonesia,2004,Athina,Badminton,Badminton Men's Singles,Individual,0,0,1
Gao E,F,China,2004,Athina,Shooting,Shooting Women's Double Trap,Individual,0,0,1
Noriko Yamaji,F,Japan,2004,Athina,Softball,Softball Women's Softball,Team,0,0,1
Hiroshi Yamamoto,M,Japan,2004,Athina,Archery,Archery Men's Individual,Individual,0,1,0
Takashi Yamamoto,M,Japan,2004,Athina,Swimming,Swimming Men's 200 metres Butterfly,Individual,0,1,0
Kim Gyeong-A,F,South Korea,2004,Athina,Table Tennis,Table Tennis Women's Singles,Individual,0,0,1
Gao Feng,F,China,2004,Athina,Judo,Judo Women's Extra-Lightweight,Individual,0,0,1
Takashi Yamamoto,M,Japan,2004,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Team,0,0,1
Masahide Kobayashi,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Ko Lai Chak,M,Hong Kong,2004,Athina,Table Tennis,Table Tennis Men's Doubles,Team,0,1,0
Kanako Kitao,F,Japan,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,1,0
Gao Ling,F,China,2004,Athina,Badminton,Badminton Mixed Doubles,Team,1,0,0
Gao Ling,F,China,2004,Athina,Badminton,Badminton Women's Doubles,Team,0,1,0
Kosuke Kitajima,M,Japan,2004,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Team,0,0,1
Kosuke Kitajima,M,Japan,2004,Athina,Swimming,Swimming Men's 200 metres Breaststroke,Individual,1,0,0
Kosuke Kitajima,M,Japan,2004,Athina,Swimming,Swimming Men's 100 metres Breaststroke,Individual,1,0,0
Kim Hyang-Mi,F,North Korea,2004,Athina,Table Tennis,Table Tennis Women's Singles,Individual,0,1,0
Takuya Kimura,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Kim Song-Guk,M,North Korea,2004,Athina,Boxing,Boxing Men's Featherweight,Individual,0,1,0
Gennady Gennadyevich Golovkin,M,Kazakhstan,2004,Athina,Boxing,Boxing Men's Middleweight,Individual,0,1,0
Kim Hyeon-Ok,F,South Korea,2004,Athina,Handball,Handball Women's Handball,Team,0,1,0
Yang Hao,F,China,2004,Athina,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Kim Jong-Su,M,North Korea,2004,Athina,Shooting,"Shooting Men's Free Pistol, 50 metres",Individual,0,0,1
Yun Mi-Jin,F,South Korea,2004,Athina,Archery,Archery Women's Team,Team,1,0,0
Kim Jeong-Ju,M,South Korea,2004,Athina,Boxing,Boxing Men's Welterweight,Individual,0,0,1
Hiroki Kuroda,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Lee Sang-Eun,F,South Korea,2004,Athina,Handball,Handball Women's Handball,Team,0,1,0
Toshiaki Fushimi,M,Japan,2004,Athina,Cycling,Cycling Men's Team Sprint,Team,0,1,0
Gennady Kazbekovich Laliyev,M,Kazakhstan,2004,Athina,Wrestling,"Wrestling Men's Middleweight, Freestyle",Individual,0,1,0
Zhang Jun,M,China,2004,Athina,Badminton,Badminton Mixed Doubles,Team,1,0,0
Yang Tae-Yeong,M,South Korea,2004,Athina,Gymnastics,Gymnastics Men's Individual All-Around,Individual,0,0,1
Kim Cha-Yeon,F,South Korea,2004,Athina,Handball,Handball Women's Handball,Team,0,1,0
Zhang Juanjuan,F,China,2004,Athina,Archery,Archery Women's Team,Team,0,1,0
Lee Gyeong-Won,F,South Korea,2004,Athina,Badminton,Badminton Women's Doubles,Team,0,0,1
Lee Gong-Ju,F,South Korea,2004,Athina,Handball,Handball Women's Handball,Team,0,1,0
Lee Eun-Sil,F,South Korea,2004,Athina,Table Tennis,Table Tennis Women's Doubles,Team,0,1,0
Lee Dong-Su,M,South Korea,2004,Athina,Badminton,Badminton Men's Doubles,Team,0,1,0
Sergey Yuryevich Filimonov,M,Kazakhstan,2004,Athina,Weightlifting,Weightlifting Men's Middleweight,Individual,0,1,0
Yang Jinghui,M,China,2004,Athina,Diving,Diving Men's Synchronized Platform,Team,1,0,0
Kim Dae-Eun,M,South Korea,2004,Athina,Gymnastics,Gymnastics Men's Individual All-Around,Individual,0,1,0
Zhang Jiewen,F,China,2004,Athina,Badminton,Badminton Women's Doubles,Team,1,0,0
Michiyo Fujimaru,F,Japan,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Team,0,1,0
Atsushi Fujimoto,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Kim Dong-Mun,M,South Korea,2004,Athina,Badminton,Badminton Men's Doubles,Team,1,0,0
Lee Bo-Na,F,South Korea,2004,Athina,Shooting,Shooting Women's Double Trap,Individual,0,1,0
Lee Bo-Na,F,South Korea,2004,Athina,Shooting,Shooting Women's Trap,Individual,0,0,1
Lee Bae-Yeong,M,South Korea,2004,Athina,Weightlifting,Weightlifting Men's Lightweight,Individual,0,1,0
Le Maosheng,M,China,2004,Athina,Weightlifting,Weightlifting Men's Featherweight,Individual,0,1,0
Eri Yamada,F,Japan,2004,Athina,Softball,Softball Women's Softball,Team,0,0,1
Kosuke Fukudome,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Lao Lishi,F,China,2004,Athina,Diving,Diving Women's Synchronized Platform,Team,1,0,0
Lao Lishi,F,China,2004,Athina,Diving,Diving Women's Platform,Individual,0,1,0
Zhang Guozheng,M,China,2004,Athina,Weightlifting,Weightlifting Men's Lightweight,Individual,1,0,0
Guo Yue,F,China,2004,Athina,Table Tennis,Table Tennis Women's Doubles,Team,0,0,1
Kye Sun-Hui,F,North Korea,2004,Athina,Judo,Judo Women's Lightweight,Individual,0,1,0
Mizuki Noguchi,F,Japan,2004,Athina,Athletics,Athletics Women's Marathon,Individual,1,0,0
Liu Chunhong,F,China,2004,Athina,Weightlifting,Weightlifting Women's Light-Heavyweight,Individual,1,0,0
Chen Zhong,F,China,2004,Athina,Taekwondo,Taekwondo Women's Heavyweight,Individual,1,0,0
Yuki Yokosawa,F,Japan,2004,Athina,Judo,Judo Women's Half-Lightweight,Individual,0,1,0
Koji Alexander Murofushi,M,Japan,2004,Athina,Athletics,Athletics Men's Hammer Throw,Individual,1,0,0
Arihito Muramatsu,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Mun Ui-Je,M,South Korea,2004,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Individual,0,1,0
Saori Yoshida,F,Japan,2004,Athina,Wrestling,"Wrestling Women's Lightweight, Freestyle",Individual,1,0,0
Mun Pil-Hui,F,South Korea,2004,Athina,Handball,Handball Women's Handball,Team,0,1,0
Mun Gyeong-Ha,F,South Korea,2004,Athina,Handball,Handball Women's Handball,Team,0,1,0
Mun Dae-Seong,M,South Korea,2004,Athina,Taekwondo,Taekwondo Men's Heavyweight,Individual,1,0,0
Masoud Mostafa Jokar,M,Iran,2004,Athina,Wrestling,"Wrestling Men's Lightweight, Freestyle",Individual,0,1,0
Tomomi Morita,M,Japan,2004,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Team,0,0,1
Tomomi Morita,M,Japan,2004,Athina,Swimming,Swimming Men's 100 metres Backstroke,Individual,0,0,1
Yin Jian,F,China,2004,Athina,Sailing,Sailing Women's Windsurfer,Individual,0,1,0
Masaki Inoue,M,Japan,2004,Athina,Cycling,Cycling Men's Team Sprint,Team,0,1,0
Hisashi Mizutori,M,Japan,2004,Athina,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
Manut Boonjumnong,M,Thailand,2004,Athina,Boxing,Boxing Men's Light-Welterweight,Individual,1,0,0
Shinya Miyamoto,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Wei Ning,F,China,2004,Athina,Shooting,Shooting Women's Skeet,Individual,0,1,0
Huang Shanshan,F,China,2004,Athina,Trampolining,Trampolining Women's Individual,Individual,0,0,1
Daisuke Miura,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Yaowapa Boorapolchai,F,Thailand,2004,Athina,Taekwondo,Taekwondo Women's Flyweight,Individual,0,0,1
Hirotoshi Ishii,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Masumi Mishina,F,Japan,2004,Athina,Softball,Softball Women's Softball,Team,0,0,1
Serik Samatovich Yeleuov,M,Kazakhstan,2004,Athina,Boxing,Boxing Men's Lightweight,Individual,0,0,1
Kazue Ito,F,Japan,2004,Athina,Softball,Softball Women's Softball,Team,0,0,1
Meng Guanliang,M,China,2004,Athina,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Team,1,0,0
Huang Chih-Hsiung,M,Chinese Taipei,2004,Athina,Taekwondo,Taekwondo Men's Featherweight,Individual,0,1,0
Huang Sui,F,China,2004,Athina,Badminton,Badminton Women's Doubles,Team,0,1,0
Myeom Bok-Hui,F,South Korea,2004,Athina,Handball,Handball Women's Handball,Team,0,1,0
Na Gyeong-Min,F,South Korea,2004,Athina,Badminton,Badminton Women's Doubles,Team,0,0,1
Kenji Inoue,M,Japan,2004,Athina,Wrestling,"Wrestling Men's Lightweight, Freestyle",Individual,0,0,1
Niu Jianfeng,F,China,2004,Athina,Table Tennis,Table Tennis Women's Doubles,Team,0,0,1
Magomed Abdulmumynovych Ibragimov,M,Uzbekistan,2004,Athina,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Individual,0,1,0
Zou Shiming,M,China,2004,Athina,Boxing,Boxing Men's Light-Flyweight,Individual,0,0,1
Wang Xu,F,China,2004,Athina,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Individual,1,0,0
Ryoji Aikawa,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Chiharu Icho,F,Japan,2004,Athina,Wrestling,"Wrestling Women's Flyweight, Freestyle",Individual,0,1,0
Naser Al Shami,M,Syria,2004,Athina,Boxing,Boxing Men's Heavyweight,Individual,0,0,1
Hwang Gyeong-Seon,F,South Korea,2004,Athina,Taekwondo,Taekwondo Women's Welterweight,Individual,0,0,1
Wang Yifu,M,China,2004,Athina,Shooting,"Shooting Men's Air Pistol, 10 metres",Individual,1,0,0
Kaori Icho,F,Japan,2004,Athina,Wrestling,"Wrestling Women's Middleweight, Freestyle",Individual,1,0,0
Isao Yoneda,M,Japan,2004,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,Individual,0,0,1
Ahmed bin Hasher Al-Maktoum,M,United Arab Emirates,2004,Athina,Shooting,Shooting Men's Double Trap,Individual,1,0,0
Isao Yoneda,M,Japan,2004,Athina,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
Im Dong-Hyeon,M,South Korea,2004,Athina,Archery,Archery Men's Team,Team,1,0,0
Yuya Ando,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Daisuke Nakano,M,Japan,2004,Athina,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
Yuko Nakanishi,F,Japan,2004,Athina,Swimming,Swimming Women's 200 metres Butterfly,Individual,0,0,1
Noriko Anno,F,Japan,2004,Athina,Judo,Judo Women's Half-Heavyweight,Individual,1,0,0
Reiko Nakamura,F,Japan,2004,Athina,Swimming,Swimming Women's 200 metres Backstroke,Individual,0,0,1
Norihiro Nakamura,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Bakhtiyar Garifulayevich Artayev,M,Kazakhstan,2004,Athina,Boxing,Boxing Men's Welterweight,Individual,1,0,0
Zhu Yingwen,F,China,2004,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Team,0,1,0
Wang Zheng,M,China,2004,Athina,Shooting,Shooting Men's Double Trap,Individual,0,0,1
Emi Naito,F,Japan,2004,Athina,Softball,Softball Women's Softball,Team,0,0,1
Im O-Gyeong,F,South Korea,2004,Athina,Handball,Handball Women's Handball,Team,0,1,0
Zhu Qinan,M,China,2004,Athina,Shooting,"Shooting Men's Air Rifle, 10 metres",Individual,1,0,0
Tomohiro Nagatsuka,M,Japan,2004,Athina,Cycling,Cycling Men's Team Sprint,Team,0,1,0
Daisuke Matsuzaka,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Hu Jia,M,China,2004,Athina,Diving,Diving Men's Platform,Individual,1,0,0
Guo Jingjing,F,China,2004,Athina,Diving,Diving Women's Springboard,Individual,1,0,0
Yumi Iwabuchi,F,Japan,2004,Athina,Softball,Softball Women's Softball,Team,0,0,1
Chen Li-Ju,F,Chinese Taipei,2004,Athina,Archery,Archery Women's Team,Team,0,0,1
Jang Mi-Ran,F,South Korea,2004,Athina,Weightlifting,Weightlifting Women's Super-Heavyweight,Individual,0,1,0
Ma Lin,M,China,2004,Athina,Table Tennis,Table Tennis Men's Doubles,Team,1,0,0
Jang Seong-Ho,M,South Korea,2004,Athina,Judo,Judo Men's Half-Heavyweight,Individual,0,1,0
Arlee Wiratthaworn,F,Thailand,2004,Athina,Weightlifting,Weightlifting Women's Flyweight,Individual,0,0,1
Jang So-Hui,F,South Korea,2004,Athina,Handball,Handball Women's Handball,Team,0,1,0
Taufik Hidayat,M,Indonesia,2004,Athina,Badminton,Badminton Men's Singles,Individual,1,0,0
Luo Xuejuan,F,China,2004,Athina,Swimming,Swimming Women's 100 metres Breaststroke,Individual,1,0,0
Jang Yong-Ho,M,South Korea,2004,Athina,Archery,Archery Men's Team,Team,1,0,0
Wu Minxia,F,China,2004,Athina,Diving,Diving Women's Synchronized Springboard,Team,1,0,0
Wu Seon-Hui,F,South Korea,2004,Athina,Handball,Handball Women's Handball,Team,0,1,0
Chen Shih-Hsien,F,Chinese Taipei,2004,Athina,Taekwondo,Taekwondo Women's Flyweight,Individual,1,0,0
Heo Sun-Yeong,F,South Korea,2004,Athina,Handball,Handball Women's Handball,Team,0,1,0
Chen Szu-Yuan,M,Chinese Taipei,2004,Athina,Archery,Archery Men's Team,Team,0,1,0
Ali Reza Heidari,M,Iran,2004,Athina,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Individual,0,0,1
He Ying,F,China,2004,Athina,Archery,Archery Women's Team,Team,0,1,0
Chen Yanqing,F,China,2004,Athina,Weightlifting,Weightlifting Women's Lightweight,Individual,1,0,0
Jeong Ji-Hyeon,M,South Korea,2004,Athina,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Individual,1,0,0
Yang Yu,F,China,2004,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Team,0,1,0
Jia Zhanbo,M,China,2004,Athina,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Individual,1,0,0
Heo Yeong-Suk,F,South Korea,2004,Athina,Handball,Handball Women's Handball,Team,0,1,0
Chen Jing,F,China,2004,Athina,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Chen Qi,M,China,2004,Athina,Table Tennis,Table Tennis Men's Doubles,Team,1,0,0
Jang Ji-Won,F,South Korea,2004,Athina,Taekwondo,Taekwondo Women's Featherweight,Individual,1,0,0
Zhou Mi,F,China,2004,Athina,Badminton,Badminton Women's Singles,Individual,0,0,1
Wu Meijin,M,China,2004,Athina,Weightlifting,Weightlifting Men's Bantamweight,Individual,0,1,0
Zhou Suhong,F,China,2004,Athina,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Wu Hui-Ju,F,Chinese Taipei,2004,Athina,Archery,Archery Women's Team,Team,0,0,1
Hiroshi Izumi,M,Japan,2004,Athina,Judo,Judo Men's Middleweight,Individual,0,1,0
Wu Minxia,F,China,2004,Athina,Diving,Diving Women's Springboard,Individual,0,1,0
Hitoki Iwase,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
Wu Hanxiong,M,China,2004,Athina,Fencing,"Fencing Men's Foil, Team",Team,0,1,0
Mkhitar Razmikovich Manukyan,M,Kazakhstan,2004,Athina,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Individual,0,0,1
Ye Chong,M,China,2004,Athina,Fencing,"Fencing Men's Foil, Team",Team,0,1,0
Hisashi Iwakuma,M,Japan,2004,Athina,Baseball,Baseball Men's Baseball,Team,0,0,1
He Kexin,F,China,2008,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,Individual,1,0,0
Heo Sun-Yeong,F,South Korea,2008,Beijing,Handball,Handball Women's Handball,Team,0,0,1
Yu Won-Cheol,M,South Korea,2008,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,Individual,0,1,0
Yu Seung-Min,M,South Korea,2008,Beijing,Table Tennis,Table Tennis Men's Team,Team,0,0,1
Guo Wenjun,F,China,2008,Beijing,Shooting,"Shooting Women's Air Pistol, 10 metres",Individual,1,0,0
Vijender Kumar Singh,M,India,2008,Beijing,Boxing,Boxing Men's Middleweight,Individual,0,0,1
Yoon Jae-Young,M,South Korea,2008,Beijing,Table Tennis,Table Tennis Men's Team,Team,0,0,1
Huang Haiyang,F,China,2008,Beijing,Fencing,"Fencing Women's Sabre, Team",Team,0,1,0
He Chong,M,China,2008,Beijing,Diving,Diving Men's Springboard,Individual,1,0,0
Son Tae-Jin,M,South Korea,2008,Beijing,Taekwondo,Taekwondo Men's Featherweight,Individual,1,0,0
Guo Jingjing,F,China,2008,Beijing,Diving,Diving Women's Springboard,Individual,1,0,0
